scenario_header,uprice,point_header_original,shock_value,shock_type,Notional,ab_Epsilon,ab_Th PnL,ab_Theta,ab_Vega,ab_WVega,ab_Zeta,ab_sDeltaPath,ab_sGammaPath,ab_sOEV
w/o first,109.8671875,2,2.0,absolute_usd,825716250.0,0.0,,-0.0,-0.0,-0.0,0.0,7380000.0,0.0,7.96
w/o first,109.8671875,2.5%,0.025,percentage,825716250.0,0.0,,-0.0,-0.0,-0.0,0.0,7380000.0,0.0,7.96
w/o first,109.8671875,5%,0.05,percentage,825716250.0,0.0,,-0.0,-0.0,-0.0,0.0,7380000.0,0.0,7.96
w/o first,109.8671875,10%,0.1,percentage,825716250.0,0.0,,0.0,0.0,0.0,-0.0,7380000.0,0.0,0.0
w/o first,109.8671875,15%,0.15,percentage,825716250.0,0.0,,-0.0,-0.0,-0.0,0.0,7380000.0,0.0,7.96
w/o first,109.8671875,20%,0.2,percentage,825716250.0,-0.0,,0.0,0.0,0.0,-0.0,7380000.0,0.0,0.0
w/o first,109.8671875,25%,0.25,percentage,825716250.0,-0.0,,0.0,0.0,0.0,-0.0,7380000.0,0.0,0.0
w/o first,109.8671875,30%,0.3,percentage,825716250.0,-0.0,,0.0,0.0,0.0,-0.0,7380000.0,0.0,0.0
21MAY25,109.8671875,-30%,-0.3,percentage,-185384.99,-289000.0,9640839.84,0.0,0.0,0.0,0.0,-289000.0,0.0,0.0
21MAY25,109.8671875,-25%,-0.25,percentage,-185384.99,-289000.0,8053258.98,0.0,0.0,0.0,0.0,-289000.0,0.0,125.79
21MAY25,109.8671875,-20%,-0.2,percentage,-185384.99,-289000.0,6465678.13,0.0,-0.0,-0.0,-0.0,-289000.0,0.0,0.14
21MAY25,109.8671875,-15%,-0.15,percentage,-185384.99,-289000.0,4878097.27,0.0,-0.0,-0.0,0.0,-289000.0,0.0,0.14
21MAY25,109.8671875,-10%,-0.1,percentage,-185384.99,-289000.0,3290516.41,0.0,0.0,0.0,-0.0,-289000.0,0.0,125.97
21MAY25,109.8671875,-5%,-0.05,percentage,-185384.99,-319000.0,1571720.7,0.0,0.0,0.0,-0.0,-319000.0,0.0,126.07
21MAY25,109.8671875,-2.5%,-0.025,percentage,-185384.99,-319000.0,695529.88,0.0,0.0,0.0,-0.0,-319000.0,0.0,125.93
21MAY25,109.8671875,-2,-2.0,absolute_usd,-185384.99,-319000.0,457339.06,0.0,0.0,0.0,-0.0,-319000.0,0.0,94.48
21MAY25,109.8671875,-1.5,-1.5,absolute_usd,-185384.99,-319000.0,297839.06,0.0,0.0,0.0,-0.0,-319000.0,0.0,62.89
21MAY25,109.8671875,-1,-1.0,absolute_usd,-185384.99,-319000.0,138339.06,0.0,0.0,0.0,-0.0,-319000.0,0.0,31.45
21MAY25,109.8671875,-0.5,-0.5,absolute_usd,-185384.99,-319000.0,-21160.94,0.0,0.0,0.0,-0.0,-319000.0,0.0,39.31
21MAY25,109.8671875,-0.25,-0.25,absolute_usd,-185384.99,-319000.0,-100910.94,0.0,0.0,0.0,-0.0,-319000.0,0.0,45.21
21MAY25,109.8671875,0,0.0,absolute_usd,-185384.99,-319000.0,-180660.94,0.0,0.0,0.0,-0.0,-319000.0,0.0,47.17
21MAY25,109.8671875,0.25,0.25,absolute_usd,-185384.99,-20000.0,-225371.87,0.0,0.0,0.0,-0.0,-20000.0,0.0,0.0
21MAY25,109.8671875,0.5,0.5,absolute_usd,-185384.99,-20000.0,-230371.87,0.0,0.0,0.0,-0.0,-20000.0,0.0,0.0
21MAY25,109.8671875,1,1.0,absolute_usd,-185384.99,-20000.0,-240371.87,0.0,0.0,0.0,-0.0,-20000.0,0.0,0.0
21MAY25,109.8671875,1.5,1.5,absolute_usd,-185384.99,-20000.0,-250371.87,0.0,0.0,0.0,-0.0,-20000.0,0.0,0.0
21MAY25,109.8671875,2,2.0,absolute_usd,-185384.99,-20000.0,-260371.87,0.0,0.0,0.0,-0.0,-20000.0,0.0,0.0
21MAY25,109.8671875,2.5%,0.025,percentage,-185384.99,-20000.0,-275305.47,0.0,0.0,0.0,-0.0,-20000.0,0.0,0.0
21MAY25,109.8671875,5%,0.05,percentage,-185384.99,-20000.0,-330239.06,0.0,0.0,0.0,-0.0,-20000.0,0.0,0.0
