scenario_header,uprice,point_header_original,shock_value,shock_type,Notional,ab_Epsilon,ab_Th PnL,ab_Theta,ab_Vega,ab_WVega,ab_Zeta,ab_sDeltaPath,ab_sGammaPath,ab_sOEV
XCME.ZN,110.0859375,-30%,-0.3,percentage,110750781.25,-0.0,,0.0,0.0,0.0,-0.03,-5300000.0,0.0,0.0
XCME.ZN,110.0859375,-25%,-0.25,percentage,110750781.25,-0.0,,-0.0,-0.0,-0.0,0.15,-5300000.0,-0.0,-50.73
XCME.ZN,110.0859375,-20%,-0.2,percentage,110750781.25,-0.0,,-0.0,-0.0,-0.0,0.1,-5300000.0,-0.0,-50.73
XCME.ZN,110.0859375,-15%,-0.15,percentage,110750781.25,-0.0,,0.0,0.0,0.0,0.05,-5300000.0,0.0,0.0
XCME.ZN,110.0859375,-10%,-0.1,percentage,110750781.25,-0.0,,0.0,0.0,0.0,0.09,-5300000.0,0.0,-35.02
XCME.ZN,110.0859375,-5%,-0.05,percentage,110750781.25,-0.0,,0.0,0.0,0.0,0.19,-5300000.0,0.0,725.98
XCME.ZN,110.0859375,-2.5%,-0.025,percentage,110750781.25,-0.0,,0.0,0.0,0.0,0.16,-5300000.0,0.0,2129.58
XCME.ZN,110.0859375,-2,-2.0,absolute_usd,110750781.25,-0.0,,0.0,0.0,0.0,0.17,-5300000.0,0.0,2804.24
XCME.ZN,110.0859375,-1.5,-1.5,absolute_usd,110750781.25,-0.0,,0.0,0.0,0.0,0.21,-5300000.0,0.0,2842.29
XCME.ZN,110.0859375,-1,-1.0,absolute_usd,110750781.25,-0.0,,0.0,0.0,0.0,0.16,-5300000.0,-0.0,2947.62
XCME.ZN,110.0859375,-0.5,-0.5,absolute_usd,110750781.25,-0.0,,0.0,0.0,0.0,0.22,-3200000.0,-0.0,1362.35
XCME.ZN,110.0859375,-0.25,-0.25,absolute_usd,110750781.25,-0.15,,0.0,0.0,0.0,10.63,-1099999.83,25.16,206.48
XCME.ZN,110.0859375,0,0.0,absolute_usd,110750781.25,4585.63,,96.64,9.98,13.89,-90763.97,995014.89,437028.04,16825111.47
XCME.ZN,110.0859375,0.25,0.25,absolute_usd,110750781.25,-0.0,,-0.0,-0.0,-0.0,0.0,1000000.0,-0.0,-0.0
XCME.ZN,110.0859375,0.5,0.5,absolute_usd,110750781.25,0.0,,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0
XCME.ZN,110.0859375,1,1.0,absolute_usd,110750781.25,0.0,,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0
XCME.ZN,110.0859375,1.5,1.5,absolute_usd,110750781.25,0.0,,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0
XCME.ZN,110.0859375,2,2.0,absolute_usd,110750781.25,0.0,,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0
XCME.ZN,110.0859375,2.5%,0.025,percentage,110750781.25,0.0,,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0
XCME.ZN,110.0859375,5%,0.05,percentage,110750781.25,0.0,,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0
XCME.ZN,110.0859375,10%,0.1,percentage,110750781.25,0.0,,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0
XCME.ZN,110.0859375,15%,0.15,percentage,110750781.25,0.0,,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0
XCME.ZN,110.0859375,20%,0.2,percentage,110750781.25,0.0,,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0
XCME.ZN,110.0859375,25%,0.25,percentage,110750781.25,0.0,,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0
XCME.ZN,110.0859375,30%,0.3,percentage,110750781.25,0.0,,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0
w/o first,110.0859375,-30%,-0.3,percentage,110564843.75,-0.0,,0.0,0.0,0.0,-0.0,-3200000.0,0.0,0.0
w/o first,110.0859375,-25%,-0.25,percentage,110564843.75,-0.0,,-0.0,-0.0,-0.0,-0.12,-3200000.0,-0.0,-50.73
w/o first,110.0859375,-20%,-0.2,percentage,110564843.75,0.0,,-0.0,-0.0,-0.0,-0.16,-3200000.0,-0.0,-50.73
