line_no,raw,normalized_bbg,actantrisk,status,error
55,TJPQ25C2 114 Comdty,TJPQ25C2 114 Comdty,XCME.GY2.12AUG25.114.C,ok,
56,TJPQ25P2 110 Comdty,TJPQ25P2 110 Comdty,XCME.GY2.12AUG25.110.P,ok,
57,TJPQ25P2 110.25 Comdty,TJPQ25P2 110.25 Comdty,XCME.GY2.12AUG25.110:25.P,ok,
58,TJPQ25P2 110.5 Comdty,TJPQ25P2 110.5 Comdty,XCME.GY2.12AUG25.110:5.P,ok,
59,TJPQ25P2 110.75 Comdty,TJPQ25P2 110.75 Comdty,XCME.GY2.12AUG25.110:75.P,ok,
60,TJPQ25P2 111 Comdty,TJPQ25P2 111 Comdty,XCME.GY2.12AUG25.111.P,ok,
61,TJPQ25P2 111.25 Comdty,TJPQ25P2 111.25 Comdty,XCME.GY2.12AUG25.111:25.P,ok,
62,TJPQ25P2 111.5 Comdty,TJPQ25P2 111.5 Comdty,XCME.GY2.12AUG25.111:5.P,ok,
63,TJPQ25P2 111.75 Comdty,TJPQ25P2 111.75 Comdty,XCME.GY2.12AUG25.111:75.P,ok,
64,TJPQ25P2 112 Comdty,TJPQ25P2 112 Comdty,XCME.GY2.12AUG25.112.P,ok,
65,TJPQ25P2 112.25 Comdty,TJPQ25P2 112.25 Comdty,XCME.GY2.12AUG25.112:25.P,ok,
66,TJPQ25P2 112.5 Comdty,TJPQ25P2 112.5 Comdty,XCME.GY2.12AUG25.112:5.P,ok,
67,TJPQ25P2 112.75 Comdty,TJPQ25P2 112.75 Comdty,XCME.GY2.12AUG25.112:75.P,ok,
68,TJPQ25P2 113 Comdty,TJPQ25P2 113 Comdty,XCME.GY2.12AUG25.113.P,ok,
69,TJPQ25P2 113.25 Comdty,TJPQ25P2 113.25 Comdty,XCME.GY2.12AUG25.113:25.P,ok,
70,TJPQ25P2 113.5 Comdty,TJPQ25P2 113.5 Comdty,XCME.GY2.12AUG25.113:5.P,ok,
71,TJPQ25P2 113.75 Comdty,TJPQ25P2 113.75 Comdty,XCME.GY2.12AUG25.113:75.P,ok,
72,TJPQ25P2 114 Comdty,TJPQ25P2 114 Comdty,XCME.GY2.12AUG25.114.P,ok,
73,TYWQ25C2 110 Comdty,TYWQ25C2 110 Comdty,XCME.WY2.13AUG25.110.C,ok,
74,TYWQ25C2 110.25 Comdty,TYWQ25C2 110.25 Comdty,XCME.WY2.13AUG25.110:25.C,ok,
75,TYWQ25C2 110.5 Comdty,TYWQ25C2 110.5 Comdty,XCME.WY2.13AUG25.110:5.C,ok,
76,TYWQ25C2 110.75 Comdty,TYWQ25C2 110.75 Comdty,XCME.WY2.13AUG25.110:75.C,ok,
77,TYWQ25C2 111 Comdty,TYWQ25C2 111 Comdty,XCME.WY2.13AUG25.111.C,ok,
78,TYWQ25C2 111.25 Comdty,TYWQ25C2 111.25 Comdty,XCME.WY2.13AUG25.111:25.C,ok,
79,TYWQ25C2 111.5 Comdty,TYWQ25C2 111.5 Comdty,XCME.WY2.13AUG25.111:5.C,ok,
80,TYWQ25C2 111.75 Comdty,TYWQ25C2 111.75 Comdty,XCME.WY2.13AUG25.111:75.C,ok,
81,TYWQ25C2 112 Comdty,TYWQ25C2 112 Comdty,XCME.WY2.13AUG25.112.C,ok,
82,TYWQ25C2 112.25 Comdty,TYWQ25C2 112.25 Comdty,XCME.WY2.13AUG25.112:25.C,ok,
83,TYWQ25C2 112.5 Comdty,TYWQ25C2 112.5 Comdty,XCME.WY2.13AUG25.112:5.C,ok,
84,TYWQ25C2 112.75 Comdty,TYWQ25C2 112.75 Comdty,XCME.WY2.13AUG25.112:75.C,ok,
85,TYWQ25C2 113 Comdty,TYWQ25C2 113 Comdty,XCME.WY2.13AUG25.113.C,ok,
86,TYWQ25C2 113.25 Comdty,TYWQ25C2 113.25 Comdty,XCME.WY2.13AUG25.113:25.C,ok,
87,TYWQ25C2 113.5 Comdty,TYWQ25C2 113.5 Comdty,XCME.WY2.13AUG25.113:5.C,ok,
88,TYWQ25C2 113.75 Comdty,TYWQ25C2 113.75 Comdty,XCME.WY2.13AUG25.113:75.C,ok,
89,TYWQ25C2 114 Comdty,TYWQ25C2 114 Comdty,XCME.WY2.13AUG25.114.C,ok,
90,TYWQ25P2 110 Comdty,TYWQ25P2 110 Comdty,XCME.WY2.13AUG25.110.P,ok,
91,TYWQ25P2 110.25 Comdty,TYWQ25P2 110.25 Comdty,XCME.WY2.13AUG25.110:25.P,ok,
92,TYWQ25P2 110.5 Comdty,TYWQ25P2 110.5 Comdty,XCME.WY2.13AUG25.110:5.P,ok,
93,TYWQ25P2 110.75 Comdty,TYWQ25P2 110.75 Comdty,XCME.WY2.13AUG25.110:75.P,ok,
94,TYWQ25P2 111 Comdty,TYWQ25P2 111 Comdty,XCME.WY2.13AUG25.111.P,ok,
95,TYWQ25P2 111.25 Comdty,TYWQ25P2 111.25 Comdty,XCME.WY2.13AUG25.111:25.P,ok,
96,TYWQ25P2 111.5 Comdty,TYWQ25P2 111.5 Comdty,XCME.WY2.13AUG25.111:5.P,ok,
97,TYWQ25P2 111.75 Comdty,TYWQ25P2 111.75 Comdty,XCME.WY2.13AUG25.111:75.P,ok,
98,TYWQ25P2 112 Comdty,TYWQ25P2 112 Comdty,XCME.WY2.13AUG25.112.P,ok,
99,TYWQ25P2 112.25 Comdty,TYWQ25P2 112.25 Comdty,XCME.WY2.13AUG25.112:25.P,ok,
100,TYWQ25P2 112.5 Comdty,TYWQ25P2 112.5 Comdty,XCME.WY2.13AUG25.112:5.P,ok,
101,TYWQ25P2 112.75 Comdty,TYWQ25P2 112.75 Comdty,XCME.WY2.13AUG25.112:75.P,ok,
102,TYWQ25P2 113 Comdty,TYWQ25P2 113 Comdty,XCME.WY2.13AUG25.113.P,ok,
103,TYWQ25P2 113.25 Comdty,TYWQ25P2 113.25 Comdty,XCME.WY2.13AUG25.113:25.P,ok,
104,TYWQ25P2 113.5 Comdty,TYWQ25P2 113.5 Comdty,XCME.WY2.13AUG25.113:5.P,ok,
105,TYWQ25P2 113.75 Comdty,TYWQ25P2 113.75 Comdty,XCME.WY2.13AUG25.113:75.P,ok,
106,TYWQ25P2 114 Comdty,TYWQ25P2 114 Comdty,XCME.WY2.13AUG25.114.P,ok,
