line_no,raw,normalized_bbg,actantrisk,status,error
229,TJPQ25P3 110.75 Comdty,TJPQ25P3 110.75 Comdty,XCME.GY3.19AUG25.110:75.P,ok,
230,TJPQ25P3 111 Comdty,TJPQ25P3 111 Comdty,XCME.GY3.19AUG25.111.P,ok,
231,TJPQ25P3 111.25 Comdty,TJPQ25P3 111.25 Comdty,XCME.GY3.19AUG25.111:25.P,ok,
232,TJPQ25P3 111.5 Comdty,TJPQ25P3 111.5 Comdty,XCME.GY3.19AUG25.111:5.P,ok,
233,TJPQ25P3 111.75 Comdty,TJPQ25P3 111.75 Comdty,XCME.GY3.19AUG25.111:75.P,ok,
234,TJPQ25P3 112 Comdty,TJPQ25P3 112 Comdty,XCME.GY3.19AUG25.112.P,ok,
235,TJPQ25P3 112.25 Comdty,TJPQ25P3 112.25 Comdty,XCME.GY3.19AUG25.112:25.P,ok,
236,TJPQ25P3 112.5 Comdty,TJPQ25P3 112.5 Comdty,XCME.GY3.19AUG25.112:5.P,ok,
237,TJPQ25P3 112.75 Comdty,TJPQ25P3 112.75 Comdty,XCME.GY3.19AUG25.112:75.P,ok,
238,TJPQ25P3 113 Comdty,TJPQ25P3 113 Comdty,XCME.GY3.19AUG25.113.P,ok,
239,TJPQ25P3 113.25 Comdty,TJPQ25P3 113.25 Comdty,XCME.GY3.19AUG25.113:25.P,ok,
240,TJPQ25P3 113.5 Comdty,TJPQ25P3 113.5 Comdty,XCME.GY3.19AUG25.113:5.P,ok,
241,TJPQ25P3 113.75 Comdty,TJPQ25P3 113.75 Comdty,XCME.GY3.19AUG25.113:75.P,ok,
242,TJPQ25P3 114 Comdty,TJPQ25P3 114 Comdty,XCME.GY3.19AUG25.114.P,ok,
243,TYWQ25C3 110 Comdty,TYWQ25C3 110 Comdty,XCME.WY3.20AUG25.110.C,ok,
244,TYWQ25C3 110.25 Comdty,TYWQ25C3 110.25 Comdty,XCME.WY3.20AUG25.110:25.C,ok,
245,TYWQ25C3 110.5 Comdty,TYWQ25C3 110.5 Comdty,XCME.WY3.20AUG25.110:5.C,ok,
246,TYWQ25C3 110.75 Comdty,TYWQ25C3 110.75 Comdty,XCME.WY3.20AUG25.110:75.C,ok,
247,TYWQ25C3 111 Comdty,TYWQ25C3 111 Comdty,XCME.WY3.20AUG25.111.C,ok,
248,TYWQ25C3 111.25 Comdty,TYWQ25C3 111.25 Comdty,XCME.WY3.20AUG25.111:25.C,ok,
249,TYWQ25C3 111.5 Comdty,TYWQ25C3 111.5 Comdty,XCME.WY3.20AUG25.111:5.C,ok,
250,TYWQ25C3 111.75 Comdty,TYWQ25C3 111.75 Comdty,XCME.WY3.20AUG25.111:75.C,ok,
251,TYWQ25C3 112 Comdty,TYWQ25C3 112 Comdty,XCME.WY3.20AUG25.112.C,ok,
252,TYWQ25C3 112.25 Comdty,TYWQ25C3 112.25 Comdty,XCME.WY3.20AUG25.112:25.C,ok,
253,TYWQ25C3 112.5 Comdty,TYWQ25C3 112.5 Comdty,XCME.WY3.20AUG25.112:5.C,ok,
254,TYWQ25C3 112.75 Comdty,TYWQ25C3 112.75 Comdty,XCME.WY3.20AUG25.112:75.C,ok,
255,TYWQ25C3 113 Comdty,TYWQ25C3 113 Comdty,XCME.WY3.20AUG25.113.C,ok,
256,TYWQ25C3 113.25 Comdty,TYWQ25C3 113.25 Comdty,XCME.WY3.20AUG25.113:25.C,ok,
257,TYWQ25C3 113.5 Comdty,TYWQ25C3 113.5 Comdty,XCME.WY3.20AUG25.113:5.C,ok,
258,TYWQ25C3 113.75 Comdty,TYWQ25C3 113.75 Comdty,XCME.WY3.20AUG25.113:75.C,ok,
259,TYWQ25C3 114 Comdty,TYWQ25C3 114 Comdty,XCME.WY3.20AUG25.114.C,ok,
260,TYWQ25P3 110 Comdty,TYWQ25P3 110 Comdty,XCME.WY3.20AUG25.110.P,ok,
261,TYWQ25P3 110.25 Comdty,TYWQ25P3 110.25 Comdty,XCME.WY3.20AUG25.110:25.P,ok,
262,TYWQ25P3 110.5 Comdty,TYWQ25P3 110.5 Comdty,XCME.WY3.20AUG25.110:5.P,ok,
263,TYWQ25P3 110.75 Comdty,TYWQ25P3 110.75 Comdty,XCME.WY3.20AUG25.110:75.P,ok,
264,TYWQ25P3 111 Comdty,TYWQ25P3 111 Comdty,XCME.WY3.20AUG25.111.P,ok,
265,TYWQ25P3 111.25 Comdty,TYWQ25P3 111.25 Comdty,XCME.WY3.20AUG25.111:25.P,ok,
266,TYWQ25P3 111.5 Comdty,TYWQ25P3 111.5 Comdty,XCME.WY3.20AUG25.111:5.P,ok,
267,TYWQ25P3 111.75 Comdty,TYWQ25P3 111.75 Comdty,XCME.WY3.20AUG25.111:75.P,ok,
268,TYWQ25P3 112 Comdty,TYWQ25P3 112 Comdty,XCME.WY3.20AUG25.112.P,ok,
269,TYWQ25P3 112.25 Comdty,TYWQ25P3 112.25 Comdty,XCME.WY3.20AUG25.112:25.P,ok,
270,TYWQ25P3 112.5 Comdty,TYWQ25P3 112.5 Comdty,XCME.WY3.20AUG25.112:5.P,ok,
271,TYWQ25P3 112.75 Comdty,TYWQ25P3 112.75 Comdty,XCME.WY3.20AUG25.112:75.P,ok,
272,TYWQ25P3 113 Comdty,TYWQ25P3 113 Comdty,XCME.WY3.20AUG25.113.P,ok,
273,TYWQ25P3 113.25 Comdty,TYWQ25P3 113.25 Comdty,XCME.WY3.20AUG25.113:25.P,ok,
274,TYWQ25P3 113.5 Comdty,TYWQ25P3 113.5 Comdty,XCME.WY3.20AUG25.113:5.P,ok,
275,TYWQ25P3 113.75 Comdty,TYWQ25P3 113.75 Comdty,XCME.WY3.20AUG25.113:75.P,ok,
276,TYWQ25P3 114 Comdty,TYWQ25P3 114 Comdty,XCME.WY3.20AUG25.114.P,ok,
277,TJWQ25C3 110 Comdty,TJWQ25C3 110 Comdty,XCME.HY3.21AUG25.110.C,ok,
278,TJWQ25C3 110.25 Comdty,TJWQ25C3 110.25 Comdty,XCME.HY3.21AUG25.110:25.C,ok,
279,TJWQ25C3 110.5 Comdty,TJWQ25C3 110.5 Comdty,XCME.HY3.21AUG25.110:5.C,ok,
280,TJWQ25C3 110.75 Comdty,TJWQ25C3 110.75 Comdty,XCME.HY3.21AUG25.110:75.C,ok,
281,TJWQ25C3 111 Comdty,TJWQ25C3 111 Comdty,XCME.HY3.21AUG25.111.C,ok,
282,TJWQ25C3 111.25 Comdty,TJWQ25C3 111.25 Comdty,XCME.HY3.21AUG25.111:25.C,ok,
283,TJWQ25C3 111.5 Comdty,TJWQ25C3 111.5 Comdty,XCME.HY3.21AUG25.111:5.C,ok,
284,TJWQ25C3 111.75 Comdty,TJWQ25C3 111.75 Comdty,XCME.HY3.21AUG25.111:75.C,ok,
285,TJWQ25C3 112 Comdty,TJWQ25C3 112 Comdty,XCME.HY3.21AUG25.112.C,ok,
286,TJWQ25C3 112.25 Comdty,TJWQ25C3 112.25 Comdty,XCME.HY3.21AUG25.112:25.C,ok,
287,TJWQ25C3 112.5 Comdty,TJWQ25C3 112.5 Comdty,XCME.HY3.21AUG25.112:5.C,ok,
288,TJWQ25C3 112.75 Comdty,TJWQ25C3 112.75 Comdty,XCME.HY3.21AUG25.112:75.C,ok,
289,TJWQ25C3 113 Comdty,TJWQ25C3 113 Comdty,XCME.HY3.21AUG25.113.C,ok,
290,TJWQ25C3 113.25 Comdty,TJWQ25C3 113.25 Comdty,XCME.HY3.21AUG25.113:25.C,ok,
291,TJWQ25C3 113.5 Comdty,TJWQ25C3 113.5 Comdty,XCME.HY3.21AUG25.113:5.C,ok,
292,TJWQ25C3 113.75 Comdty,TJWQ25C3 113.75 Comdty,XCME.HY3.21AUG25.113:75.C,ok,
293,TJWQ25C3 114 Comdty,TJWQ25C3 114 Comdty,XCME.HY3.21AUG25.114.C,ok,
294,TJWQ25P3 110 Comdty,TJWQ25P3 110 Comdty,XCME.HY3.21AUG25.110.P,ok,
295,TJWQ25P3 110.25 Comdty,TJWQ25P3 110.25 Comdty,XCME.HY3.21AUG25.110:25.P,ok,
296,TJWQ25P3 110.5 Comdty,TJWQ25P3 110.5 Comdty,XCME.HY3.21AUG25.110:5.P,ok,
297,TJWQ25P3 110.75 Comdty,TJWQ25P3 110.75 Comdty,XCME.HY3.21AUG25.110:75.P,ok,
298,TJWQ25P3 111 Comdty,TJWQ25P3 111 Comdty,XCME.HY3.21AUG25.111.P,ok,
299,TJWQ25P3 111.25 Comdty,TJWQ25P3 111.25 Comdty,XCME.HY3.21AUG25.111:25.P,ok,
300,TJWQ25P3 111.5 Comdty,TJWQ25P3 111.5 Comdty,XCME.HY3.21AUG25.111:5.P,ok,
301,TJWQ25P3 111.75 Comdty,TJWQ25P3 111.75 Comdty,XCME.HY3.21AUG25.111:75.P,ok,
302,TJWQ25P3 112 Comdty,TJWQ25P3 112 Comdty,XCME.HY3.21AUG25.112.P,ok,
303,TJWQ25P3 112.25 Comdty,TJWQ25P3 112.25 Comdty,XCME.HY3.21AUG25.112:25.P,ok,
304,TJWQ25P3 112.5 Comdty,TJWQ25P3 112.5 Comdty,XCME.HY3.21AUG25.112:5.P,ok,
305,TJWQ25P3 112.75 Comdty,TJWQ25P3 112.75 Comdty,XCME.HY3.21AUG25.112:75.P,ok,
306,TJWQ25P3 113 Comdty,TJWQ25P3 113 Comdty,XCME.HY3.21AUG25.113.P,ok,
307,TJWQ25P3 113.25 Comdty,TJWQ25P3 113.25 Comdty,XCME.HY3.21AUG25.113:25.P,ok,
308,TJWQ25P3 113.5 Comdty,TJWQ25P3 113.5 Comdty,XCME.HY3.21AUG25.113:5.P,ok,
309,TJWQ25P3 113.75 Comdty,TJWQ25P3 113.75 Comdty,XCME.HY3.21AUG25.113:75.P,ok,
310,TJWQ25P3 114 Comdty,TJWQ25P3 114 Comdty,XCME.HY3.21AUG25.114.P,ok,
311,TYU5C 110 Comdty,TYU5C 110 Comdty,XCME.OZN.SEP25.110.C,ok,
312,TYU5C 110.25 Comdty,TYU5C 110.25 Comdty,XCME.OZN.SEP25.110:25.C,ok,
313,TYU5C 110.5 Comdty,TYU5C 110.5 Comdty,XCME.OZN.SEP25.110:5.C,ok,
314,TYU5C 110.75 Comdty,TYU5C 110.75 Comdty,XCME.OZN.SEP25.110:75.C,ok,
315,TYU5C 111 Comdty,TYU5C 111 Comdty,XCME.OZN.SEP25.111.C,ok,
316,TYU5C 111.25 Comdty,TYU5C 111.25 Comdty,XCME.OZN.SEP25.111:25.C,ok,
317,TYU5C 111.5 Comdty,TYU5C 111.5 Comdty,XCME.OZN.SEP25.111:5.C,ok,
318,TYU5C 111.75 Comdty,TYU5C 111.75 Comdty,XCME.OZN.SEP25.111:75.C,ok,
319,TYU5C 112 Comdty,TYU5C 112 Comdty,XCME.OZN.SEP25.112.C,ok,
320,TYU5C 112.25 Comdty,TYU5C 112.25 Comdty,XCME.OZN.SEP25.112:25.C,ok,
321,TYU5C 112.5 Comdty,TYU5C 112.5 Comdty,XCME.OZN.SEP25.112:5.C,ok,
322,TYU5C 112.75 Comdty,TYU5C 112.75 Comdty,XCME.OZN.SEP25.112:75.C,ok,
323,TYU5C 113 Comdty,TYU5C 113 Comdty,XCME.OZN.SEP25.113.C,ok,
324,TYU5C 113.25 Comdty,TYU5C 113.25 Comdty,XCME.OZN.SEP25.113:25.C,ok,
325,TYU5C 113.5 Comdty,TYU5C 113.5 Comdty,XCME.OZN.SEP25.113:5.C,ok,
326,TYU5C 113.75 Comdty,TYU5C 113.75 Comdty,XCME.OZN.SEP25.113:75.C,ok,
327,TYU5C 114 Comdty,TYU5C 114 Comdty,XCME.OZN.SEP25.114.C,ok,
328,TYU5P 110 Comdty,TYU5P 110 Comdty,XCME.OZN.SEP25.110.P,ok,
329,TYU5P 110.25 Comdty,TYU5P 110.25 Comdty,XCME.OZN.SEP25.110:25.P,ok,
330,TYU5P 110.5 Comdty,TYU5P 110.5 Comdty,XCME.OZN.SEP25.110:5.P,ok,
331,TYU5P 110.75 Comdty,TYU5P 110.75 Comdty,XCME.OZN.SEP25.110:75.P,ok,
332,TYU5P 111 Comdty,TYU5P 111 Comdty,XCME.OZN.SEP25.111.P,ok,
333,TYU5P 111.25 Comdty,TYU5P 111.25 Comdty,XCME.OZN.SEP25.111:25.P,ok,
334,TYU5P 111.5 Comdty,TYU5P 111.5 Comdty,XCME.OZN.SEP25.111:5.P,ok,
335,TYU5P 111.75 Comdty,TYU5P 111.75 Comdty,XCME.OZN.SEP25.111:75.P,ok,
336,TYU5P 112 Comdty,TYU5P 112 Comdty,XCME.OZN.SEP25.112.P,ok,
337,TYU5P 112.25 Comdty,TYU5P 112.25 Comdty,XCME.OZN.SEP25.112:25.P,ok,
338,TYU5P 112.5 Comdty,TYU5P 112.5 Comdty,XCME.OZN.SEP25.112:5.P,ok,
339,TYU5P 112.75 Comdty,TYU5P 112.75 Comdty,XCME.OZN.SEP25.112:75.P,ok,
340,TYU5P 113 Comdty,TYU5P 113 Comdty,XCME.OZN.SEP25.113.P,ok,
341,TYU5P 113.25 Comdty,TYU5P 113.25 Comdty,XCME.OZN.SEP25.113:25.P,ok,
342,TYU5P 113.5 Comdty,TYU5P 113.5 Comdty,XCME.OZN.SEP25.113:5.P,ok,
343,TYU5P 113.75 Comdty,TYU5P 113.75 Comdty,XCME.OZN.SEP25.113:75.P,ok,
344,TYU5P 114 Comdty,TYU5P 114 Comdty,XCME.OZN.SEP25.114.P,ok,
345,VBYQ25C4 110 Comdty,VBYQ25C4 110 Comdty,XCME.VY4.25AUG25.110.C,ok,
346,VBYQ25C4 110.25 Comdty,VBYQ25C4 110.25 Comdty,XCME.VY4.25AUG25.110:25.C,ok,
347,VBYQ25C4 110.5 Comdty,VBYQ25C4 110.5 Comdty,XCME.VY4.25AUG25.110:5.C,ok,
348,VBYQ25C4 110.75 Comdty,VBYQ25C4 110.75 Comdty,XCME.VY4.25AUG25.110:75.C,ok,
349,VBYQ25C4 111 Comdty,VBYQ25C4 111 Comdty,XCME.VY4.25AUG25.111.C,ok,
350,VBYQ25C4 111.25 Comdty,VBYQ25C4 111.25 Comdty,XCME.VY4.25AUG25.111:25.C,ok,
351,VBYQ25C4 111.5 Comdty,VBYQ25C4 111.5 Comdty,XCME.VY4.25AUG25.111:5.C,ok,
352,VBYQ25C4 111.75 Comdty,VBYQ25C4 111.75 Comdty,XCME.VY4.25AUG25.111:75.C,ok,
353,VBYQ25C4 112 Comdty,VBYQ25C4 112 Comdty,XCME.VY4.25AUG25.112.C,ok,
354,VBYQ25C4 112.25 Comdty,VBYQ25C4 112.25 Comdty,XCME.VY4.25AUG25.112:25.C,ok,
355,VBYQ25C4 112.5 Comdty,VBYQ25C4 112.5 Comdty,XCME.VY4.25AUG25.112:5.C,ok,
356,VBYQ25C4 112.75 Comdty,VBYQ25C4 112.75 Comdty,XCME.VY4.25AUG25.112:75.C,ok,
357,VBYQ25C4 113 Comdty,VBYQ25C4 113 Comdty,XCME.VY4.25AUG25.113.C,ok,
358,VBYQ25C4 113.25 Comdty,VBYQ25C4 113.25 Comdty,XCME.VY4.25AUG25.113:25.C,ok,
359,VBYQ25C4 113.5 Comdty,VBYQ25C4 113.5 Comdty,XCME.VY4.25AUG25.113:5.C,ok,
360,VBYQ25C4 113.75 Comdty,VBYQ25C4 113.75 Comdty,XCME.VY4.25AUG25.113:75.C,ok,
361,VBYQ25C4 114 Comdty,VBYQ25C4 114 Comdty,XCME.VY4.25AUG25.114.C,ok,
362,VBYQ25P4 110 Comdty,VBYQ25P4 110 Comdty,XCME.VY4.25AUG25.110.P,ok,
363,VBYQ25P4 110.25 Comdty,VBYQ25P4 110.25 Comdty,XCME.VY4.25AUG25.110:25.P,ok,
364,VBYQ25P4 110.5 Comdty,VBYQ25P4 110.5 Comdty,XCME.VY4.25AUG25.110:5.P,ok,
365,VBYQ25P4 110.75 Comdty,VBYQ25P4 110.75 Comdty,XCME.VY4.25AUG25.110:75.P,ok,
366,VBYQ25P4 111 Comdty,VBYQ25P4 111 Comdty,XCME.VY4.25AUG25.111.P,ok,
367,VBYQ25P4 111.25 Comdty,VBYQ25P4 111.25 Comdty,XCME.VY4.25AUG25.111:25.P,ok,
368,VBYQ25P4 111.5 Comdty,VBYQ25P4 111.5 Comdty,XCME.VY4.25AUG25.111:5.P,ok,
369,VBYQ25P4 111.75 Comdty,VBYQ25P4 111.75 Comdty,XCME.VY4.25AUG25.111:75.P,ok,
370,VBYQ25P4 112 Comdty,VBYQ25P4 112 Comdty,XCME.VY4.25AUG25.112.P,ok,
371,VBYQ25P4 112.25 Comdty,VBYQ25P4 112.25 Comdty,XCME.VY4.25AUG25.112:25.P,ok,
372,VBYQ25P4 112.5 Comdty,VBYQ25P4 112.5 Comdty,XCME.VY4.25AUG25.112:5.P,ok,
373,VBYQ25P4 112.75 Comdty,VBYQ25P4 112.75 Comdty,XCME.VY4.25AUG25.112:75.P,ok,
374,VBYQ25P4 113 Comdty,VBYQ25P4 113 Comdty,XCME.VY4.25AUG25.113.P,ok,
375,VBYQ25P4 113.25 Comdty,VBYQ25P4 113.25 Comdty,XCME.VY4.25AUG25.113:25.P,ok,
376,VBYQ25P4 113.5 Comdty,VBYQ25P4 113.5 Comdty,XCME.VY4.25AUG25.113:5.P,ok,
377,VBYQ25P4 113.75 Comdty,VBYQ25P4 113.75 Comdty,XCME.VY4.25AUG25.113:75.P,ok,
378,VBYQ25P4 114 Comdty,VBYQ25P4 114 Comdty,XCME.VY4.25AUG25.114.P,ok,
379,TJPQ25C4 110 Comdty,TJPQ25C4 110 Comdty,XCME.GY4.26AUG25.110.C,ok,
380,TJPQ25C4 110.25 Comdty,TJPQ25C4 110.25 Comdty,XCME.GY4.26AUG25.110:25.C,ok,
381,TJPQ25C4 110.5 Comdty,TJPQ25C4 110.5 Comdty,XCME.GY4.26AUG25.110:5.C,ok,
382,TJPQ25C4 110.75 Comdty,TJPQ25C4 110.75 Comdty,XCME.GY4.26AUG25.110:75.C,ok,
383,TJPQ25C4 111 Comdty,TJPQ25C4 111 Comdty,XCME.GY4.26AUG25.111.C,ok,
384,TJPQ25C4 111.25 Comdty,TJPQ25C4 111.25 Comdty,XCME.GY4.26AUG25.111:25.C,ok,
385,TJPQ25C4 111.5 Comdty,TJPQ25C4 111.5 Comdty,XCME.GY4.26AUG25.111:5.C,ok,
386,TJPQ25C4 111.75 Comdty,TJPQ25C4 111.75 Comdty,XCME.GY4.26AUG25.111:75.C,ok,
387,TJPQ25C4 112 Comdty,TJPQ25C4 112 Comdty,XCME.GY4.26AUG25.112.C,ok,
388,TJPQ25C4 112.25 Comdty,TJPQ25C4 112.25 Comdty,XCME.GY4.26AUG25.112:25.C,ok,
389,TJPQ25C4 112.5 Comdty,TJPQ25C4 112.5 Comdty,XCME.GY4.26AUG25.112:5.C,ok,
390,TJPQ25C4 112.75 Comdty,TJPQ25C4 112.75 Comdty,XCME.GY4.26AUG25.112:75.C,ok,
391,TJPQ25C4 113 Comdty,TJPQ25C4 113 Comdty,XCME.GY4.26AUG25.113.C,ok,
392,TJPQ25C4 113.25 Comdty,TJPQ25C4 113.25 Comdty,XCME.GY4.26AUG25.113:25.C,ok,
393,TJPQ25C4 113.5 Comdty,TJPQ25C4 113.5 Comdty,XCME.GY4.26AUG25.113:5.C,ok,
394,TJPQ25C4 113.75 Comdty,TJPQ25C4 113.75 Comdty,XCME.GY4.26AUG25.113:75.C,ok,
395,TJPQ25C4 114 Comdty,TJPQ25C4 114 Comdty,XCME.GY4.26AUG25.114.C,ok,
396,TJPQ25P4 110 Comdty,TJPQ25P4 110 Comdty,XCME.GY4.26AUG25.110.P,ok,
397,TJPQ25P4 110.25 Comdty,TJPQ25P4 110.25 Comdty,XCME.GY4.26AUG25.110:25.P,ok,
398,TJPQ25P4 110.5 Comdty,TJPQ25P4 110.5 Comdty,XCME.GY4.26AUG25.110:5.P,ok,
399,TJPQ25P4 110.75 Comdty,TJPQ25P4 110.75 Comdty,XCME.GY4.26AUG25.110:75.P,ok,
400,TJPQ25P4 111 Comdty,TJPQ25P4 111 Comdty,XCME.GY4.26AUG25.111.P,ok,
401,TJPQ25P4 111.25 Comdty,TJPQ25P4 111.25 Comdty,XCME.GY4.26AUG25.111:25.P,ok,
402,TJPQ25P4 111.5 Comdty,TJPQ25P4 111.5 Comdty,XCME.GY4.26AUG25.111:5.P,ok,
403,TJPQ25P4 111.75 Comdty,TJPQ25P4 111.75 Comdty,XCME.GY4.26AUG25.111:75.P,ok,
404,TJPQ25P4 112 Comdty,TJPQ25P4 112 Comdty,XCME.GY4.26AUG25.112.P,ok,
405,TJPQ25P4 112.25 Comdty,TJPQ25P4 112.25 Comdty,XCME.GY4.26AUG25.112:25.P,ok,
406,TJPQ25P4 112.5 Comdty,TJPQ25P4 112.5 Comdty,XCME.GY4.26AUG25.112:5.P,ok,
407,TJPQ25P4 112.75 Comdty,TJPQ25P4 112.75 Comdty,XCME.GY4.26AUG25.112:75.P,ok,
408,TJPQ25P4 113 Comdty,TJPQ25P4 113 Comdty,XCME.GY4.26AUG25.113.P,ok,
409,TJPQ25P4 113.25 Comdty,TJPQ25P4 113.25 Comdty,XCME.GY4.26AUG25.113:25.P,ok,
410,TJPQ25P4 113.5 Comdty,TJPQ25P4 113.5 Comdty,XCME.GY4.26AUG25.113:5.P,ok,
411,TJPQ25P4 113.75 Comdty,TJPQ25P4 113.75 Comdty,XCME.GY4.26AUG25.113:75.P,ok,
412,TJPQ25P4 114 Comdty,TJPQ25P4 114 Comdty,XCME.GY4.26AUG25.114.P,ok,
413,TYWQ25C4 110 Comdty,TYWQ25C4 110 Comdty,XCME.WY4.27AUG25.110.C,ok,
414,TYWQ25C4 110.25 Comdty,TYWQ25C4 110.25 Comdty,XCME.WY4.27AUG25.110:25.C,ok,
415,TYWQ25C4 110.5 Comdty,TYWQ25C4 110.5 Comdty,XCME.WY4.27AUG25.110:5.C,ok,
416,TYWQ25C4 110.75 Comdty,TYWQ25C4 110.75 Comdty,XCME.WY4.27AUG25.110:75.C,ok,
417,TYWQ25C4 111 Comdty,TYWQ25C4 111 Comdty,XCME.WY4.27AUG25.111.C,ok,
418,TYWQ25C4 111.25 Comdty,TYWQ25C4 111.25 Comdty,XCME.WY4.27AUG25.111:25.C,ok,
419,TYWQ25C4 111.5 Comdty,TYWQ25C4 111.5 Comdty,XCME.WY4.27AUG25.111:5.C,ok,
420,TYWQ25C4 111.75 Comdty,TYWQ25C4 111.75 Comdty,XCME.WY4.27AUG25.111:75.C,ok,
421,TYWQ25C4 112 Comdty,TYWQ25C4 112 Comdty,XCME.WY4.27AUG25.112.C,ok,
422,TYWQ25C4 112.25 Comdty,TYWQ25C4 112.25 Comdty,XCME.WY4.27AUG25.112:25.C,ok,
423,TYWQ25C4 112.5 Comdty,TYWQ25C4 112.5 Comdty,XCME.WY4.27AUG25.112:5.C,ok,
424,TYWQ25C4 112.75 Comdty,TYWQ25C4 112.75 Comdty,XCME.WY4.27AUG25.112:75.C,ok,
425,TYWQ25C4 113 Comdty,TYWQ25C4 113 Comdty,XCME.WY4.27AUG25.113.C,ok,
426,TYWQ25C4 113.25 Comdty,TYWQ25C4 113.25 Comdty,XCME.WY4.27AUG25.113:25.C,ok,
427,TYWQ25C4 113.5 Comdty,TYWQ25C4 113.5 Comdty,XCME.WY4.27AUG25.113:5.C,ok,
428,TYWQ25C4 113.75 Comdty,TYWQ25C4 113.75 Comdty,XCME.WY4.27AUG25.113:75.C,ok,
429,TYWQ25C4 114 Comdty,TYWQ25C4 114 Comdty,XCME.WY4.27AUG25.114.C,ok,
430,TYWQ25P4 110 Comdty,TYWQ25P4 110 Comdty,XCME.WY4.27AUG25.110.P,ok,
431,TYWQ25P4 110.25 Comdty,TYWQ25P4 110.25 Comdty,XCME.WY4.27AUG25.110:25.P,ok,
432,TYWQ25P4 110.5 Comdty,TYWQ25P4 110.5 Comdty,XCME.WY4.27AUG25.110:5.P,ok,
433,TYWQ25P4 110.75 Comdty,TYWQ25P4 110.75 Comdty,XCME.WY4.27AUG25.110:75.P,ok,
434,TYWQ25P4 111 Comdty,TYWQ25P4 111 Comdty,XCME.WY4.27AUG25.111.P,ok,
435,TYWQ25P4 111.25 Comdty,TYWQ25P4 111.25 Comdty,XCME.WY4.27AUG25.111:25.P,ok,
436,TYWQ25P4 111.5 Comdty,TYWQ25P4 111.5 Comdty,XCME.WY4.27AUG25.111:5.P,ok,
437,TYWQ25P4 111.75 Comdty,TYWQ25P4 111.75 Comdty,XCME.WY4.27AUG25.111:75.P,ok,
438,TYWQ25P4 112 Comdty,TYWQ25P4 112 Comdty,XCME.WY4.27AUG25.112.P,ok,
439,TYWQ25P4 112.25 Comdty,TYWQ25P4 112.25 Comdty,XCME.WY4.27AUG25.112:25.P,ok,
440,TYWQ25P4 112.5 Comdty,TYWQ25P4 112.5 Comdty,XCME.WY4.27AUG25.112:5.P,ok,
441,TYWQ25P4 112.75 Comdty,TYWQ25P4 112.75 Comdty,XCME.WY4.27AUG25.112:75.P,ok,
442,TYWQ25P4 113 Comdty,TYWQ25P4 113 Comdty,XCME.WY4.27AUG25.113.P,ok,
443,TYWQ25P4 113.25 Comdty,TYWQ25P4 113.25 Comdty,XCME.WY4.27AUG25.113:25.P,ok,
444,TYWQ25P4 113.5 Comdty,TYWQ25P4 113.5 Comdty,XCME.WY4.27AUG25.113:5.P,ok,
445,TYWQ25P4 113.75 Comdty,TYWQ25P4 113.75 Comdty,XCME.WY4.27AUG25.113:75.P,ok,
446,TYWQ25P4 114 Comdty,TYWQ25P4 114 Comdty,XCME.WY4.27AUG25.114.P,ok,
447,TJWQ25C4 110 Comdty,TJWQ25C4 110 Comdty,XCME.HY4.28AUG25.110.C,ok,
448,TJWQ25C4 110.25 Comdty,TJWQ25C4 110.25 Comdty,XCME.HY4.28AUG25.110:25.C,ok,
449,TJWQ25C4 110.5 Comdty,TJWQ25C4 110.5 Comdty,XCME.HY4.28AUG25.110:5.C,ok,
450,TJWQ25C4 110.75 Comdty,TJWQ25C4 110.75 Comdty,XCME.HY4.28AUG25.110:75.C,ok,
451,TJWQ25C4 111 Comdty,TJWQ25C4 111 Comdty,XCME.HY4.28AUG25.111.C,ok,
452,TJWQ25C4 111.25 Comdty,TJWQ25C4 111.25 Comdty,XCME.HY4.28AUG25.111:25.C,ok,
453,TJWQ25C4 111.5 Comdty,TJWQ25C4 111.5 Comdty,XCME.HY4.28AUG25.111:5.C,ok,
454,TJWQ25C4 111.75 Comdty,TJWQ25C4 111.75 Comdty,XCME.HY4.28AUG25.111:75.C,ok,
455,TJWQ25C4 112 Comdty,TJWQ25C4 112 Comdty,XCME.HY4.28AUG25.112.C,ok,
456,TJWQ25C4 112.25 Comdty,TJWQ25C4 112.25 Comdty,XCME.HY4.28AUG25.112:25.C,ok,
457,TJWQ25C4 112.5 Comdty,TJWQ25C4 112.5 Comdty,XCME.HY4.28AUG25.112:5.C,ok,
458,TJWQ25C4 112.75 Comdty,TJWQ25C4 112.75 Comdty,XCME.HY4.28AUG25.112:75.C,ok,
459,TJWQ25C4 113 Comdty,TJWQ25C4 113 Comdty,XCME.HY4.28AUG25.113.C,ok,
460,TJWQ25C4 113.25 Comdty,TJWQ25C4 113.25 Comdty,XCME.HY4.28AUG25.113:25.C,ok,
461,TJWQ25C4 113.5 Comdty,TJWQ25C4 113.5 Comdty,XCME.HY4.28AUG25.113:5.C,ok,
462,TJWQ25C4 113.75 Comdty,TJWQ25C4 113.75 Comdty,XCME.HY4.28AUG25.113:75.C,ok,
463,TJWQ25C4 114 Comdty,TJWQ25C4 114 Comdty,XCME.HY4.28AUG25.114.C,ok,
464,TJWQ25P4 110 Comdty,TJWQ25P4 110 Comdty,XCME.HY4.28AUG25.110.P,ok,
