RECORD I D,FIRM,OFFICE,SALESMAN,ACCOUNT,EXCHANGE,EXCHANGE_NAME,FUTURES CODE,SYMBOL,PUT/CALL,STRIKE PRICE,DESCRIPTION,B/S,CONTRACT YEAR,CONTRACT MONTH,CONTRACT DAY,QTY,TRADE PRICE,PRINTABLE TRADE PRICE,TRADE DATE,CASH AMOUNT,SUB-ACCOUNT,ORDER NUMBER,SPREAD CODE,TRADE TYPE,COMMENT CODE,EXEC BROKER,OPP BROKER,OPP FIRM,G/I CODE,G.I FIRM,CURR SYMBOL,PROD CURR,PROD TYPE,TRACER,EXEC TIME,OPT EXP DATE,LAST TRD DATE,TRADED EXCHG,SUB EXCHANGE,SOURCE REFRNCE,EXCH COMM CD,MULT FACTOR,CUSIP,CHIT NUMBER,EXTERNAL ACCOUNT
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "S", "2025", "09", "", 10.00, 112.203125000, "112.065", "20250806", 0.00, "", "4783", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202508060000ITIH", "1343 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "B", "2025", "09", "", 2.00, 112.156250000, "112.050", "20250806", 0.00, "", "4730", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202508060000BASU", "0958 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "17", "", " ", "0", "SEP 25 CBT 30YR TBOND", "S", "2025", "09", "", 1.00, 115.687500000, "115.220", "20250806", 0.00, "", "4715", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-2025080600006B06", "0733 ", "", "20250919", "01", "", "JDAS                                                        ", "17", 1000.00, "01170000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "B", "2025", "09", "", 15.00, 112.031250000, "112.010", "20250806", 0.00, "", "4733", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202508060000CXZG", "1037 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "S", "2025", "09", "", 2.00, 112.078125000, "112.025", "20250806", 0.00, "", "4750", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202508060000DV03", "1045 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "B", "2025", "09", "", 2.00, 112.140625000, "112.045", "20250806", 0.00, "", "4699", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-2025080600000TAP", "2001 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "B", "2025", "09", "", 2.00, 112.140625000, "112.045", "20250806", 0.00, "", "4822", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202508060000K73N", "1544 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "B", "2025", "09", "", 2.00, 112.171875000, "112.055", "20250806", 0.00, "", "4732", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202508060000CTN8", "1035 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "B", "2025", "09", "", 2.00, 112.156250000, "112.050", "20250806", 0.00, "", "4698", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-2025080600000R3U", "1933 ", "", "20250919", "01", "", "JDAS", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "S", "2025", "09", "", 2.00, 112.109375000, "112.035", "20250806", 0.00, "", "4779", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202508060000I27Z", "1314 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "B", "2025", "09", "", 5.00, 112.093750000, "112.030", "20250806", 0.00, "", "4701", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-20250806000022XW", "0130 ", "", "20250919", "01", "", "JDAS_ATS                                                    ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "B", "2025", "09", "", 2.00, 112.109375000, "112.035", "20250806", 0.00, "", "4763", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202508060000G2A1", "1149 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "B", "2025", "09", "", 6.00, 111.984375000, "111.315", "20250806", 0.00, "", "4745", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202508060000DAZ5", "1040 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
