RECORD I D,FIRM,OFFICE,SALESMAN,ACCOUNT,EXCHANGE,EXCHANGE_NAME,FUTURES CODE,SYMBOL,PUT/CALL,STRIKE PRICE,DESCRIPTION,B/S,CONTRACT YEAR,CONTRACT MONTH,CONTRACT DAY,QTY,TRADE PRICE,PRINTABLE TRADE PRICE,TRADE DATE,CASH AMOUNT,SUB-ACCOUNT,ORDER NUMBER,SPREAD CODE,TRADE TYPE,COMMENT CODE,EXEC BROKER,OPP BROKER,OPP FIRM,G/I CODE,G.I FIRM,CURR SYMBOL,PROD CURR,PROD TYPE,TRACER,EXEC TIME,OPT EXP DATE,LAST TRD DATE,TRADED EXCHG,SUB EXCHANGE,SOURCE REFRNCE,EXCH COMM CD,MULT FACTOR,CUSIP,CHIT NUMBER,EXTERNAL ACCOUNT
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "B", "2025", "09", "", 1.00, 111.015625000, "111.005", "20250724", 0.00, "", "3670", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-2025072400000JFS", "1746 ", "", "20250919", "01", "", "JDAS", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "S", "2025", "09", "", 1.00, 110.875000000, "110.280", "20250724", 0.00, "", "3676", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-2025072400007RFL", "0718 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "B", "2025", "09", "", 1.00, 110.875000000, "110.280", "20250724", 0.00, "", "3698", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202507240000J520", "1308 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "S", "2025", "09", "", 1.00, 110.671875000, "110.215", "20250724", 0.00, "", "3685", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-2025072400009I9C", "0809 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "S", "2025", "09", "", 1.00, 110.906250000, "110.290", "20250724", 0.00, "", "3697", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202507240000ICTU", "1220 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "S", "2025", "09", "", 1.00, 110.671875000, "110.215", "20250724", 0.00, "", "3692", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202507240000AGRH", "0832 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "S", "2025", "09", "", 1.00, 110.859375000, "110.275", "20250724", 0.00, "", "3695", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202507240000GUZW", "1126 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "B", "2025", "09", "", 1.00, 110.828125000, "110.265", "20250724", 0.00, "", "3696", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202507240000GW3M", "1128 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "B", "2025", "09", "", 1.00, 110.859375000, "110.275", "20250724", 0.00, "", "3675", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-2025072400007PTZ", "0716 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "S", "2025", "09", "", 1.00, 110.843750000, "110.270", "20250724", 0.00, "", "3678", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-2025072400007TXX", "0721 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "B", "2025", "09", "", 1.00, 110.640625000, "110.205", "20250724", 0.00, "", "3684", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-2025072400009C4I", "0804 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "B", "2025", "09", "", 1.00, 110.625000000, "110.200", "20250724", 0.00, "", "3691", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202507240000ACTW", "0830 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "B", "2025", "09", "", 1.00, 110.906250000, "110.290", "20250724", 0.00, "", "3674", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-2025072400003XUY", "0244 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "B", "2025", "09", "", 1.00, 110.687500000, "110.220", "20250724", 0.00, "", "3682", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-2025072400008Z8A", "0755 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "S", "2025", "09", "", 1.00, 110.703125000, "110.225", "20250724", 0.00, "", "3683", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202507240000AVZ2", "0839 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "B", "2025", "09", "", 1.00, 110.828125000, "110.265", "20250724", 0.00, "", "3677", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-2025072400007TG3", "0721 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "S", "2025", "09", "", 1.00, 110.687500000, "110.220", "20250724", 0.00, "", "3693", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202507240000AS98", "0838 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "B", "2025", "09", "", 1.00, 110.750000000, "110.240", "20250724", 0.00, "", "3681", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-2025072400008BUH", "0735 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "S", "2025", "09", "", 1.00, 110.875000000, "110.280", "20250724", 0.00, "", "3701", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202507240000KSNF", "1501 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "B", "2025", "09", "", 1.00, 110.812500000, "110.260", "20250724", 0.00, "", "3679", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-2025072400007WPD", "0724 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "S", "2025", "09", "", 1.00, 110.843750000, "110.270", "20250724", 0.00, "", "3680", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-2025072400007YPC", "0726 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
