RECORD I D,FIRM,OFFICE,SALESMAN,ACCOUNT,EXCHANGE,EXCHANGE_NAME,FUTURES CODE,SYMBOL,PUT/CALL,STRIKE PRICE,DESCRIPTION,B/S,CONTRACT YEAR,CONTRACT MONTH,CONTRACT DAY,QTY,TRADE PRICE,PRINTABLE TRADE PRICE,TRADE DATE,CASH AMOUNT,SUB-ACCOUNT,ORDER NUMBER,SPREAD CODE,TRADE TYPE,COMMENT CODE,EXEC BROKER,OPP BROKER,OPP FIRM,G/I CODE,G.I FIRM,CURR SYMBOL,PROD CURR,PROD TYPE,TRACER,EXEC TIME,OPT EXP DATE,LAST TRD DATE,TRADED EXCHG,SUB EXCHANGE,SOURCE REFRNCE,EXCH COMM CD,MULT FACTOR,CUSIP,CHIT NUMBER,EXTERNAL ACCOUNT
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "B", "2025", "09", "", 2.00, 112.312500000, "112.100", "20250805", 0.00, "", "4627", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202508050000DT6W", "1008 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "B", "2025", "09", "", 2.00, 112.281250000, "112.090", "20250805", 0.00, "", "4503", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-20250805000050A8", "0436 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "B", "2025", "09", "", 1.00, 112.312500000, "112.100", "20250805", 0.00, "", "4635", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202508050000F7NH", "1039 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "B", "2025", "09", "", 1.00, 112.218750000, "112.070", "20250805", 0.00, "", "4659", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202508050000KZJP", "1543 ", "", "20250919", "01", "", "HWANG                                                       ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "B", "2025", "09", "", 5.00, 112.265625000, "112.085", "20250805", 0.00, "", "4484", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-2025080500003OXV", "0309 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "B", "2025", "09", "", 5.00, 112.171875000, "112.055", "20250805", 0.00, "", "4548", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-2025080500009AZA", "0837 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "B", "2025", "09", "", 2.00, 112.250000000, "112.080", "20250805", 0.00, "", "4680", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202508050000KO40", "1459 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "S", "2025", "09", "", 8.00, 112.390625000, "112.125", "20250805", 0.00, "", "4612", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202508050000CR3V", "0945 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "B", "2025", "09", "", 5.00, 112.234375000, "112.075", "20250805", 0.00, "", "4505", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-2025080500005XDD", "0602 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "S", "2025", "09", "", 5.00, 112.265625000, "112.085", "20250805", 0.00, "", "4528", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-2025080500007OQZ", "0736 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "B", "2025", "09", "", 5.00, 112.359375000, "112.115", "20250805", 0.00, "", "4464", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202508050000117I", "2051 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
