RECORD I D,FIRM,OFFICE,SALESMAN,ACCOUNT,EXCHANGE,EXCHANGE_NAME,FUTURES CODE,SYMBOL,PUT/CALL,STRIKE PRICE,DESCRIPTION,B/S,CONTRACT YEAR,CONTRACT MONTH,CONTRACT DAY,QTY,TRADE PRICE,PRINTABLE TRADE PRICE,TRADE DATE,CASH AMOUNT,SUB-ACCOUNT,ORDER NUMBER,SPREAD CODE,TRADE TYPE,COMMENT CODE,EXEC BROKER,OPP BROKER,OPP FIRM,G/I CODE,G.I FIRM,CURR SYMBOL,PROD CURR,PROD TYPE,TRACER,EXEC TIME,OPT EXP DATE,LAST TRD DATE,TRADED EXCHG,SUB EXCHANGE,SOURCE REFRNCE,EXCH COMM CD,MULT FACTOR,CUSIP,CHIT NUMBER,EXTERNAL ACCOUNT
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "S", "2025", "09", "", 1.00, 111.390625000, "111.125", "20250729", 0.00, "", "7710", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202507290000N9L2", "1557 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "B", "2025", "09", "", 1.00, 111.015625000, "111.005", "20250729", 0.00, "", "7670", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202507290000BN4V", "0904 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "S", "2025", "09", "", 1.00, 111.359375000, "111.115", "20250729", 0.00, "", "7685", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202507290000I6SH", "1216 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "B", "2025", "09", "", 1.00, 111.343750000, "111.110", "20250729", 0.00, "", "7693", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202507290000LZPB", "1406 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "S", "2025", "09", "", 1.00, 111.218750000, "111.070", "20250729", 0.00, "", "7675", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202507290000H3BF", "1135 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "S", "2025", "09", "", 1.00, 111.375000000, "111.120", "20250729", 0.00, "", "7677", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202507290000I7MF", "1217 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "S", "2025", "09", "", 1.00, 111.062500000, "111.020", "20250729", 0.00, "", "7672", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202507290000C1S5", "0916 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "B", "2025", "09", "", 1.00, 110.953125000, "110.305", "20250729", 0.00, "", "7662", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202507290000954C", "0807 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "T1", "", "C", "111.750000", "CALL AUG 25 CBT 10YR TNOTE WKLY WK1 111.75", "B", "2025", "08", "", 1.00, 0.171875000, "0.11", "20250729", 0.00, "", "3203", " ", "", "B", "6URD", "", "", " ", "", "USD", "US", "F", "UDN80482-202507290000LYIT", "1353 ", "20250801", "20250801", "01", "", "CME_JDAS1                                                   ", "TY1", 1000.00, "01T11117525H", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "B", "2025", "09", "", 1.00, 111.312500000, "111.100", "20250729", 0.00, "", "7680", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202507290000HVNF", "1203 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
