RECORD I D,FIRM,OFFICE,SALESMAN,ACCOUNT,EXCHANGE,EXCHANGE_NAME,FUTURES CODE,SYMBOL,PUT/CALL,STRIKE PRICE,DESCRIPTION,B/S,CONTRACT YEAR,CONTRACT MONTH,CONTRACT DAY,QTY,TRADE PRICE,PRINTABLE TRADE PRICE,TRADE DATE,CASH AMOUNT,SUB-ACCOUNT,ORDER NUMBER,SPREAD CODE,TRADE TYPE,COMMENT CODE,EXEC BROKER,OPP BROKER,OPP FIRM,G/I CODE,G.I FIRM,CURR SYMBOL,PROD CURR,PROD TYPE,TRACER,EXEC TIME,OPT EXP DATE,LAST TRD DATE,TRADED EXCHG,SUB EXCHANGE,SOURCE REFRNCE,EXCH COMM CD,MULT FACTOR,CUSIP,CHIT NUMBER,EXTERNAL ACCOUNT
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "S", "2025", "09", "", 5.00, 112.078125000, "112.025", "20250804", 0.00, "", "4300", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-2025080400002VJC", "2229 ", "", "20250919", "01", "", "JDAS_ATS                                                    ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "B", "2025", "09", "", 10.00, 112.093750000, "112.030", "20250804", 0.00, "", "4353", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202508040000EUHF", "0951 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "S", "2025", "09", "", 1.00, 112.390625000, "112.125", "20250804", 0.00, "", "4320", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-2025080400009ZP3", "0744 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "S", "2025", "09", "", 10.00, 112.328125000, "112.105", "20250804", 0.00, "", "4382", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202508040000HWAV", "1120 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "S", "2025", "09", "", 1.00, 112.234375000, "112.075", "20250804", 0.00, "", "4367", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202508040000GDPT", "1030 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "B", "2025", "09", "", 5.00, 112.359375000, "112.115", "20250804", 0.00, "", "4423", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202508040000L21Y", "1424 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "A=", "", "C", "112.500000", "CALL AUG 25 CBT 10YR TNOTE WED WK1 112.50", "S", "2025", "08", "", 30.00, 0.203125000, "0.13", "20250804", 0.00, "", "7697", " ", "", "B", "6URD", "", "", " ", "", "USD", "US", "F", "UDN80482-202508040000APLD", "0811 ", "20250806", "20250806", "01", "", "CME_JDAS1                                                   ", "WY1", 1000.00, "01A=0112525H", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "S", "2025", "09", "", 1.00, 112.390625000, "112.125", "20250804", 0.00, "", "4320", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202508040000A0ET", "0745 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "S", "2025", "09", "", 5.00, 112.234375000, "112.075", "20250804", 0.00, "", "4369", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202508040000GN0D", "1036 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "B", "2025", "09", "", 2.00, 112.312500000, "112.100", "20250804", 0.00, "", "4402", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202508040000KFFG", "1333 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
