Key,BID,ASK,STRIKE,ITYPE,ADJTHEOR,IVBID,IVASK,IVAVERAGE
XCME.ZN.SEP25,111.3593750,111.3750000,INVALID,F,,,,
XCME.ZN1.01AUG25.111:25.C,.3906250,.4062500,111.2500000,C,.3205841,835.9129288,875.7675866,855.8444152
XCME.ZN1.01AUG25.110:25.C,1.1250000,1.1562500,110.2500000,C,1.1220397,653.1597023,884.3848827,786.7941539
XCME.ZN1.01AUG25.112:75.C,.0156250,.0312500,112.7500000,C,.0048819,830.0493732,963.4039103,902.6217234
XCME.ZN1.01AUG25.111:75.C,.1718750,.1875000,111.7500000,C,.1098057,833.2151946,877.0388262,855.1858940
