tradeId,instrumentName,marketTradeTime,buySell,quantity,price
67,XCMEFFDPSX20250919U0ZN,2025-07-29 07:00:41.800000,S,1.0,110.984375
68,XCMEFFDPSX20250919U0ZN,2025-07-29 07:47:42.747000,B,1.0,110.953125
69,XCMEFFDPSX20250919U0ZN,2025-07-29 08:07:27.043000,B,1.0,110.953125
70,XCMEFFDPSX20250919U0ZN,2025-07-29 08:14:53.766000,B,1.0,110.90625
71,XCMEFFDPSX20250919U0ZN,2025-07-29 08:27:57.743000,S,1.0,110.9375
72,XCMEFFDPSX20250919U0ZN,2025-07-29 08:40:15.349000,S,1.0,111.0
73,XCMEFFDPSX20250919U0ZN,2025-07-29 09:03:11.882000,S,1.0,111.03125
74,XCMEFFDPSX20250919U0ZN,2025-07-29 09:04:35.911000,B,1.0,111.015625
75,XCMEFFDPSX20250919U0ZN,2025-07-29 09:16:03.811000,S,1.0,111.0625
76,XCMEFFDPSX20250919U0ZN,2025-07-29 09:20:21.641000,S,1.0,111.09375
77,XCMEFFDPSX20250919U0ZN,2025-07-29 09:35:01.884000,S,1.0,111.140625
78,XCMEFFDPSX20250919U0ZN,2025-07-29 10:00:28.480000,B,1.0,111.125
79,XCMEFFDPSX20250919U0ZN,2025-07-29 10:49:01.842000,B,1.0,111.140625
80,XCMEFFDPSX20250919U0ZN,2025-07-29 11:35:30.963000,S,1.0,111.21875
81,XCMEFFDPSX20250919U0ZN,2025-07-29 12:02:28.232000,S,1.0,111.34375
82,XCMEFFDPSX20250919U0ZN,2025-07-29 12:03:10.033000,B,1.0,111.3125
83,XCMEFFDPSX20250919U0ZN,2025-07-29 12:06:38.907000,S,1.0,111.328125
84,XCMEFFDPSX20250919U0ZN,2025-07-29 12:16:23.942000,S,1.0,111.359375
85,XCMEFFDPSX20250919U0ZN,2025-07-29 12:17:09.768000,S,1.0,111.375
86,XCMEFFDPSX20250919U0ZN,2025-07-29 12:21:42.084000,B,1.0,111.34375
87,XCMEFFDPSX20250919U0ZN,2025-07-29 12:25:35.184000,B,1.0,111.328125
88,XCMEFFDPSX20250919U0ZN,2025-07-29 12:38:53.681000,B,1.0,111.296875
89,XCMEFFDPSX20250919U0ZN,2025-07-29 13:59:43.546000,S,1.0,111.359375
90,XCMEFFDPSX20250919U0ZN,2025-07-29 14:06:41.908000,B,1.0,111.34375
91,XCMEFFDPSX20250919U0ZN,2025-07-29 14:07:24.239000,B,1.0,111.328125
92,XCMEFFDPSX20250919U0ZN,2025-07-29 14:18:12.628000,B,1.0,111.328125
93,XCMEFFDPSX20250919U0ZN,2025-07-29 14:58:00.034000,S,1.0,111.375
94,XCMEFFDPSX20250919U0ZN,2025-07-29 14:59:56.136000,S,1.0,111.390625
95,XCMEFFDPSX20250919U0ZN,2025-07-29 15:02:42.024000,S,1.0,111.390625
96,XCMEFFDPSX20250919U0ZN,2025-07-29 15:30:21.010000,S,1.0,111.390625
97,XCMEFFDPSX20250919U0ZN,2025-07-29 15:57:28.640000,S,1.0,111.390625
98,XCMEFFDPSX20250919U0ZN,2025-07-29 17:30:15.107000,B,1.0,111.390625
99,XCMEFFDPSX20250919U0ZN,2025-07-29 17:38:13.893000,B,1.0,111.375
100,XCMEFFDPSX20250919U0ZN,2025-07-30 04:34:02.517000,B,1.0,111.3125
101,XCMEFFDPSX20250919U0ZN,2025-07-30 06:15:16.986000,B,1.0,111.421875
102,XCMEFFDPSX20250919U0ZN,2025-07-30 06:46:18.159000,B,1.0,111.359375
103,XCMEFFDPSX20250919U0ZN,2025-07-30 07:15:22.822000,B,1.0,111.265625
104,XCMEFFDPSX20250919U0ZN,2025-07-30 07:18:02.062000,B,1.0,111.25
105,XCMEFFDPSX20250919U0ZN,2025-07-30 07:22:23.718000,S,1.0,111.28125
106,XCMEFFDPSX20250919U0ZN,2025-07-30 07:23:32.013000,S,1.0,111.296875
107,XCMEFFDPSX20250919U0ZN,2025-07-30 07:30:37.141000,S,1.0,111.1875
108,XCMEFFDPSX20250919U0ZN,2025-07-30 07:35:11.165000,B,1.0,111.140625
109,XCMEFFDPSX20250919U0ZN,2025-07-30 07:42:47.036000,B,1.0,111.109375
110,XCMEFFDPSX20250919U0ZN,2025-07-30 07:46:12.660000,S,1.0,111.140625
111,XCMEFFDPSX20250919U0ZN,2025-07-30 08:03:29.991000,B,1.0,111.125
112,XCMEFFDPSX20250919U0ZN,2025-07-30 08:03:31.473000,B,1.0,111.109375
113,XCMEFFDPSX20250919U0ZN,2025-07-30 08:18:55.097000,B,1.0,111.0625
114,XCMEFFDPSX20250919U0ZN,2025-07-30 08:39:19.204000,B,1.0,111.03125
115,XCMEFFDPSX20250919U0ZN,2025-07-30 08:47:10.416000,S,1.0,111.078125
116,XCMEFFDPSX20250919U0ZN,2025-07-30 08:48:05.367000,S,1.0,111.09375
117,XCMEFFDPSX20250919U0ZN,2025-07-30 08:52:22.838000,B,1.0,111.03125
118,XCMEFFDPSX20250919U0ZN,2025-07-30 09:02:49.862000,S,1.0,111.0625
119,XCMEFFDPSX20250919U0ZN,2025-07-30 09:06:34.828000,S,1.0,111.078125
