key,bid,ask,strike,itype,adjtheor,ivbid,ivask,ivaverage,pos.position,pos.startofdaypos,pos.premium,pos.price,pos.marketvalue,utotal.premium,utotal.yesterdaypl,midpoint_price,expiry_date,vtexp,calc_vol,implied_vol,delta_F,delta_y,gamma_F,gamma_y,vega_price,vega_y,theta_F,volga_price,vanna_F_price,charm_F,speed_F,color_F,ultima,zomma,greek_calc_success,greek_calc_error,model_version
XCME.VY2.14JUL25.110:25.C,0.578125,0.59375,110.25,C,,393.4638882,487.6231469,442.6798059,0,0,0.0,,,110725927,0,0.5859375,14JUL25,0.016424162257495593,4.656866742945064,4.656866742945064,0.8097730324587619,51.015701044901995,0.4550273149584399,5.2070501493968475,0.03480282561222119,2.192578013569935,-19.57918242129699,5.748830613132676,-51.1456250137257,-7250.852629176246,154.31286023189426,-27102.387568967715,8850.927868206112,-6946.709864735651,True,,bachelier_v1.0
XCME.VY2.14JUL25.110:25.P,0.046875,0.078125,110.25,P,,418.7436161,508.9972975,465.569012,0,0,0.0,,,110725927,0,0.0625,14JUL25,0.016424162257495593,4.656866742945064,4.656866742945064,-0.19022696754123813,-11.984298955098003,0.4550273149584399,5.2070501493968475,0.03480282561222119,2.192578013569935,-19.57918242129699,5.748830613132676,-51.1456250137257,-7250.852629176246,154.31286023189426,-27102.387568967715,8850.927868206112,-6946.709864735651,True,,bachelier_v1.0
XCME.VY2.14JUL25.110:5.C,0.375,0.40625,110.5,C,,411.910218,480.459157,446.6988503,0,0,0.0,,,110725927,0,0.390625,14JUL25,0.016424162257495593,4.465989097315189,4.465989097315189,0.6835851826943551,43.065866509744374,0.6218540116525224,5.339196339565153,0.045613072331141945,2.8736235568619426,-24.608957765548475,2.3311449181608843,-38.07403077035234,-5176.465126360866,400.59775168558633,-25068.546981359785,11581.056361656472,-6425.408911552731,True,,bachelier_v1.0
XCME.VY2.14JUL25.110:5.P,0.109375,0.140625,110.5,P,,429.2840744,497.3393104,463.5790036,0,0,0.0,,,110725927,0,0.125,14JUL25,0.016424162257495593,4.636546969748883,4.636546969748883,-0.3226957721729189,-20.329833646893892,0.6039357302274627,5.2416986701465405,0.04599055121323566,2.8974047264338467,-25.760216882997018,2.100475141988336,-35.61673747974903,-5027.3089624010045,368.6674575920069,-23590.08348586828,10175.269221077706,-6046.458646649058,True,,bachelier_v1.0
XCME.VY2.14JUL25.110:75.C,0.234375,0.25,110.75,C,,435.081374,465.655165,450.3686243,0,0,0.0,,,110725927,0,0.2421875,14JUL25,0.016424162257495593,4.504043363175643,4.504043363175643,0.5161941386267448,32.52023073348492,0.6905702816517785,4.908888830108237,0.051085032582465176,3.2183570526953065,-27.796010975113738,0.01869929911861586,-3.593491374559484,-492.7265306584208,48.49692659585334,-2559.436094022795,1260.9572883848953,-656.0182167443572,True,,bachelier_v1.0
XCME.VY2.14JUL25.110:75.P,0.21875,0.234375,110.75,P,,450.3686243,480.9410651,465.655165,1,1,227.0,0.2265625,226.5625,110725927,0,0.2265625,14JUL25,0.016424162257495593,4.6569705089018525,4.6569705089018525,-0.48433737192729853,-30.513254431419806,0.6679286718972757,4.816791936665633,0.0510877529689444,3.218528437043497,-28.741307791703807,0.01691786992058171,-3.361536908526368,-476.5715901414706,43.88144258456092,-2394.313384793422,1103.44492749255,-613.6950247312319,True,,bachelier_v1.0
XCME.VY2.14JUL25.111.C,0.125,0.15625,111.0,C,,430.1297307,495.9391882,463.1952373,0,0,0.0,,,110725927,0,0.140625,14JUL25,0.016424162257495593,4.632912469547248,4.632912469547248,0.35138427186820465,22.13720912769689,0.624735270286188,3.9553882296123404,0.047537172592300794,2.99484187331495,-26.605638080926315,1.4940457335681527,30.551318550606386,4308.943812632462,-343.044066237651,20715.182726011906,-9173.19623992818,5309.582553433667,True,,bachelier_v1.0
XCME.VY2.14JUL25.111.P,0.359375,0.375,111.0,P,,446.8232618,479.5672128,463.1952373,0,0,0.0,,,110725927,0,0.3671875,14JUL25,0.016424162257495593,4.632912469547248,4.632912469547248,-0.6486157281317954,-40.86279087230311,0.624735270286188,3.9553882296123404,0.047537172592300794,2.99484187331495,-26.605638080926315,1.4940457335681527,30.551318550606386,4308.943812632462,-343.044066237651,20715.182726011906,-9173.19623992818,5309.582553433667,True,,bachelier_v1.0
XCME.VY2.14JUL25.111:25.C,0.0625,0.078125,111.25,C,,439.7338399,482.0652837,461.2101907,0,0,0.0,,,110725927,0,0.0703125,14JUL25,0.016424162257495593,4.613264657913212,4.613264657913212,0.21010278325958776,13.23647534535403,0.4876079547848884,2.8177476622314908,0.036945570675070975,2.3275709525294714,-20.59003032423701,5.203478591837513,50.37119766228356,7074.2014816044175,-232.8525123296589,28121.812374330657,-10035.459026087241,7208.002281639889,True,,bachelier_v1.0
XCME.VY2.14JUL25.111:25.P,0.546875,0.5625,111.25,P,,417.4838598,502.5305847,461.2101907,0,0,0.0,,,110725927,0,0.5546875,14JUL25,0.016424162257495593,4.821767064774413,4.821767064774413,-0.7797084364238563,-49.12163149470295,0.47952477429198825,2.8284583961847045,0.03797523784724972,2.392439984376732,-22.120399465229408,4.684231259643117,47.39414454879254,6956.930943136324,-242.5181064231768,27078.693221738322,-9109.562690403929,6940.636681876096,True,,bachelier_v1.0
