key,bid,ask,strike,itype,adjtheor,ivbid,ivask,ivaverage,pos.position,pos.startofdaypos,pos.premium,pos.price,pos.marketvalue,utotal.premium,utotal.yesterdaypl,price_source,midpoint_price,expiry_date,vtexp,calc_vol,implied_vol,delta_F,delta_y,gamma_F,gamma_y,vega_price,vega_y,theta_F,volga_price,vanna_F_price,charm_F,speed_F,color_F,ultima,zomma,greek_calc_success,greek_calc_error,model_version
XCME.ZN2.11JUL25.110:5.P,,0.015625,110.5,P,0.0098793,,615.4078207,532.1933073,-100,-100,-3900.0,0.0098793,-987.935,110897227,390625,adjtheor,0.0098793,11JUL25,0.007415674603174603,5.72958406886834,5.72958406886834,-0.048198901676607564,-3.0365308056262768,0.20299428999800959,4.803248949960348,0.008624969795711977,0.5433730971298545,-13.222070778858052,4.160986324932837,-29.0629741203678,-11227.485186762822,-1206.7077682419717,-5366.82777753898,-6933.028914403947,-924.3213553896222,True,,bachelier_v1.0
XCME.ZN2.11JUL25.110:75.P,0.0069999,0.03125,110.75,P,0.0206536,392.4370341,567.1023921,493.9129427,0,0,0.0,,,110897227,390625,adjtheor,0.0206536,11JUL25,0.007415674603174603,5.14017831353028,5.14017831353028,-0.09879891175347844,-6.224331440469141,0.3929916131072695,5.344828283058143,0.014980010991093437,0.9437406924388865,-20.601987326518717,4.837853279182821,-43.60316231837262,-15111.776159534551,-755.0224745100288,-45746.04884839788,2985.6635728040683,-7878.778978568386,True,,bachelier_v1.0
XCME.ZN2.11JUL25.111.P,0.046875,0.0625,111.0,P,0.0527441,448.8519593,508.3164653,479.1112173,0,0,0.0,,,110897227,390625,adjtheor,0.0527441,11JUL25,0.007415674603174603,4.832262259866123,4.832262259866123,-0.22072496421534238,-13.90567274556657,0.7128894656361927,6.102413439405611,0.02554602651822224,1.609399670648001,-33.02878925312228,3.1323405893490275,-47.25476281743021,-15396.266636607741,537.3543315784306,-89074.62041953267,29870.625963348357,-15341.199175717464,True,,bachelier_v1.0
XCME.ZN2.11JUL25.111:25.P,0.125,0.140625,111.25,P,0.1308837,446.4295934,491.6995851,469.0790679,0,0,0.0,,,110897227,390625,adjtheor,0.1308837,11JUL25,0.007415674603174603,4.763323202598215,4.763323202598215,-0.4319489890387289,-27.21278630943992,0.9583944108651125,6.18968166276097,0.03385361006993445,2.1327774344058703,-43.14533413721241,0.20882825098624597,-14.147078446660112,-4543.558787295308,388.7353139634833,-32904.66311961315,14359.713573272184,-5667.124803342704,True,,bachelier_v1.0
XCME.VY2.14JUL25.110:25.P,,0.015625,110.25,P,0.0089577,,635.8483643,556.1096185,100,100,3900.0,0.0089577,895.7748,110897227,390625,adjtheor,0.0089577,14JUL25,0.010970568783068783,5.732918358029739,5.732918358029739,-0.037336965333178984,-2.352228815990276,0.1356768977678985,4.581686352841437,0.008533178033826416,0.5375902161310643,-8.847628576179575,4.729068293742124,-25.33032402926304,-6618.466303512051,-876.8560568067163,1952.8042292161115,-4478.637870413111,409.0753164195688,True,,bachelier_v1.0
XCME.VY2.14JUL25.110:5.P,0.0069999,0.015625,110.5,P,0.0166686,435.7070576,514.3612277,479.2661589,150,150,15299.9999999,0.0113125,1696.875,110897227,390625,adjtheor,0.0166686,14JUL25,0.010970568783068783,5.26808507456739,5.26808507456739,-0.0685521710503576,-4.318786776172529,0.2394486002016625,4.862452375788896,0.013838665980637151,0.8718359567801405,-13.185218333899272,5.80584452688201,-37.285403912930605,-8952.25597400526,-780.7287271462471,-12814.5568531069,-2591.8866641806426,-2684.4057489395864,True,,bachelier_v1.0
XCME.VY2.14JUL25.110:75.P,0.015625,0.046875,110.75,P,0.0344757,392.6254552,540.4436854,474.4404908,0,0,0.0,,,110897227,390625,adjtheor,0.0344757,14JUL25,0.010970568783068783,4.901456712623338,4.901456712623338,-0.13330669988974275,-8.398322093053794,0.41926771014465175,5.304185402027203,0.022544766041075998,1.4203202605877878,-19.98532536787725,5.676319788965562,-48.784194161309706,-10897.958924012359,-212.3757054024329,-37486.45446482814,7390.578213203731,-7852.698694637192,True,,bachelier_v1.0
XCME.VY2.14JUL25.111.P,0.0625,0.09375,111.0,P,0.0776405,426.0048589,517.8027958,472.8377814,0,0,0.0,,,110897227,390625,adjtheor,0.0776405,14JUL25,0.010970568783068783,4.736578872045799,4.736578872045799,-0.2592542829183626,-16.333019823856844,0.6528463180681483,5.702279048155358,0.0339238299271321,2.1372012854093225,-29.060960860599042,2.985583255694558,-44.14891885161071,-9530.719892068728,495.44996630436884,-49624.3108698437,18847.078957067406,-10395.34857999216,True,,bachelier_v1.0
XCME.VY2.14JUL25.111:25.P,0.15625,0.171875,111.25,P,0.1643062,450.9591026,488.5541739,469.7642725,0,0,0.0,,,110897227,390625,adjtheor,0.1643062,14JUL25,0.010970568783068783,4.725904373002718,4.725904373002718,-0.4435213151650629,-27.94184285539896,0.7978644012254867,5.503934284770693,0.04136596523607091,2.6060558098724673,-35.356430324514115,0.17661366737882503,-11.8707100870775,-2556.833734899308,224.3417269542084,-15391.940986108493,6845.177500418388,-3224.3186669721504,True,,bachelier_v1.0
XCME.WY3.16JUL25.110:25.P,0.015625,0.03125,110.25,P,0.0218075,485.3202383,569.3813626,530.9332545,0,0,0.0,,,110897227,390625,adjtheor,0.0218075,16JUL25,0.01890707671957672,5.239083577540319,5.239083577540319,-0.06867383451551456,-4.326451574477417,0.18365640485152232,4.640502165890531,0.018192223869017407,1.1461101037480965,-10.001984921147994,7.665078734933539,-37.51987211281175,-5198.311424158797,-457.3431332669651,-5719.190870966875,-1157.5475052723261,-1572.8118758094874,True,,bachelier_v1.0
XCME.WY3.16JUL25.110:5.P,0.03125,0.0625,110.5,P,0.043571,466.8351264,576.2745398,525.2925341,0,0,0.0,,,110897227,390625,adjtheor,0.043571,16JUL25,0.01890707671957672,5.161826336069543,5.161826336069543,-0.12389179940137773,-7.805183362286797,0.2882295559786917,4.8236375501936415,0.028129776932595222,1.772175946753499,-15.237536342642578,7.27931299219408,-45.80516511890358,-6252.640509835086,-157.5839180393417,-14661.03357052755,2265.917708420069,-4031.8723804839547,True,,bachelier_v1.0
