timestamp,underlying_future_price,expiry,vtexp,strike,itype,bid,ask,adjtheor,key
2025-08-20 14:39:26,111.90625,20AUG25,7.165079365079365e-05,114.0,P,2.078125,2.109375,2.09375,XCME.WY3.20AUG25.114.P
2025-08-20 14:39:26,111.90625,21AUG25,0.004039904761904762,112.5,C,0.007,0.015625,0.0094132396890387,XCME.HY3.21AUG25.112:5.C
2025-08-20 14:39:26,111.90625,21AUG25,0.004039904761904762,112.75,C,,0.015625,0.0037335688261919,XCME.HY3.21AUG25.112:75.C
2025-08-20 14:39:26,111.90625,21AUG25,0.004039904761904762,113.0,C,,0.015625,0.0019684595410183,XCME.HY3.21AUG25.113.C
2025-08-20 14:39:26,111.90625,21AUG25,0.004039904761904762,113.25,C,,0.015625,0.0003967906745288,XCME.HY3.21AUG25.113:25.C
2025-08-20 14:39:26,111.90625,21AUG25,0.004039904761904762,113.5,C,,0.007,6.38320274077842e-05,XCME.HY3.21AUG25.113:5.C
2025-08-20 14:39:26,111.90625,21AUG25,0.004039904761904762,113.75,C,,0.007,8.15677837806561e-06,XCME.HY3.21AUG25.113:75.C
2025-08-20 14:39:26,111.90625,21AUG25,0.004039904761904762,114.0,C,,0.007,8.25378151603218e-07,XCME.HY3.21AUG25.114.C
2025-08-20 14:39:26,111.90625,21AUG25,0.004039904761904762,110.0,P,,0.007,3.53927305241086e-08,XCME.HY3.21AUG25.110.P
2025-08-20 14:39:26,111.90625,21AUG25,0.004039904761904762,110.25,P,,0.007,8.82337388929955e-07,XCME.HY3.21AUG25.110:25.P
2025-08-20 14:39:26,111.90625,21AUG25,0.004039904761904762,110.5,P,,0.007,1.48462866036425e-05,XCME.HY3.21AUG25.110:5.P
2025-08-20 14:39:26,111.90625,21AUG25,0.004039904761904762,110.75,P,,0.007,0.0001704474194497,XCME.HY3.21AUG25.110:75.P
2025-08-20 14:39:26,111.90625,21AUG25,0.004039904761904762,111.0,P,,0.007,0.000163149882681,XCME.HY3.21AUG25.111.P
2025-08-20 14:39:26,111.90625,21AUG25,0.004039904761904762,111.25,P,,0.007,0.0008577379305734,XCME.HY3.21AUG25.111:25.P
2025-08-20 14:39:26,111.90625,21AUG25,0.004039904761904762,111.5,P,0.007,0.015625,0.0084138537211089,XCME.HY3.21AUG25.111:5.P
2025-08-20 14:39:26,111.90625,21AUG25,0.004039904761904762,111.75,P,0.046875,0.0625,0.0533840058085104,XCME.HY3.21AUG25.111:75.P
2025-08-20 14:39:26,111.90625,21AUG25,0.004039904761904762,112.0,P,0.171875,0.1875,0.176976287586349,XCME.HY3.21AUG25.112.P
2025-08-20 14:39:26,111.90625,21AUG25,0.004039904761904762,112.25,P,0.359375,0.390625,0.371767135068438,XCME.HY3.21AUG25.112:25.P
2025-08-20 14:39:26,111.90625,21AUG25,0.004039904761904762,112.5,P,0.59375,0.625,0.601949691347647,XCME.HY3.21AUG25.112:5.P
2025-08-20 14:39:26,111.90625,21AUG25,0.004039904761904762,112.75,P,0.84375,0.875,0.84375,XCME.HY3.21AUG25.112:75.P
2025-08-20 14:39:26,111.90625,21AUG25,0.004039904761904762,113.0,P,1.09375,1.125,1.09375,XCME.HY3.21AUG25.113.P
2025-08-20 14:39:26,111.90625,21AUG25,0.004039904761904762,113.25,P,1.34375,1.375,1.34375,XCME.HY3.21AUG25.113:25.P
2025-08-20 14:39:26,111.90625,21AUG25,0.004039904761904762,113.5,P,1.59375,1.609375,1.59375,XCME.HY3.21AUG25.113:5.P
2025-08-20 14:39:26,111.90625,21AUG25,0.004039904761904762,113.75,P,1.84375,1.859375,1.84375,XCME.HY3.21AUG25.113:75.P
2025-08-20 14:39:26,111.90625,21AUG25,0.004039904761904762,114.0,P,2.09375,2.109375,2.09375,XCME.HY3.21AUG25.114.P
