scenario_header,uprice,point_header_original,shock_value,shock_type,ATMVol,Delta,DownHalfSDVol,Epsilon,Gamma,Notional,SimUPrice,Theta,UpHalfSDVol,Vega,Zeta
w/o first,110.8359375,-0.25,-0.25,absolute_usd,50000.0,-33.89,50000.0,-0.24,1593.09,156.25,110585.94,-354.56,50000.0,41.06,5.4
w/o first,110.8359375,0,0.0,absolute_usd,50000.0,-0.0,50000.0,3.81,0.0,156.25,110835.94,-354.11,50000.0,41.02,-33.35
w/o first,110.8359375,0.25,0.25,absolute_usd,50000.0,0.0,50000.0,7.77,-0.0,156.25,111085.94,-352.66,50000.0,40.89,-71.41
w/o first,110.8359375,0.5,0.5,absolute_usd,50000.0,0.0,50000.0,11.64,0.0,156.25,111335.94,-350.23,50000.0,40.67,-108.7
w/o first,110.8359375,1,1.0,absolute_usd,50000.0,0.0,50000.0,18.97,0.0,156.25,111835.94,-342.55,50000.0,39.94,-180.04
w/o first,110.8359375,1.5,1.5,absolute_usd,50000.0,0.0,50000.0,25.59,0.0,156.25,112335.94,-331.38,50000.0,38.88,-245.61
w/o first,110.8359375,2,2.0,absolute_usd,50000.0,0.0,50000.0,31.31,0.0,156.25,112835.94,-317.11,50000.0,37.5,-303.9
w/o first,110.8359375,0.01%,0.0001,percentage,50000.0,-0.0,50000.0,3.99,0.0,156.25,110847.02,-354.06,50000.0,41.02,-35.05
w/o first,110.8359375,2.5%,0.025,percentage,50000.0,0.0,50000.0,38.09,0.0,156.25,113606.84,-290.19,50000.0,34.86,-376.94
w/o first,110.8359375,5%,0.05,percentage,50000.0,0.0,50000.0,41.73,0.0,156.25,116377.73,-172.68,50000.0,22.68,-455.95
w/o first,110.8359375,10%,0.1,percentage,50000.0,0.0,50000.0,11.32,0.0,156.25,121919.53,-26.24,50000.0,4.64,-170.6
w/o first,110.8359375,15%,0.15,percentage,50000.0,0.0,50000.0,0.91,0.0,156.25,127461.33,-1.55,50000.0,0.4,-20.54
w/o first,110.8359375,20%,0.2,percentage,50000.0,0.0,50000.0,0.03,0.0,156.25,133003.13,-0.04,50000.0,0.02,-1.04
w/o first,110.8359375,25%,0.25,percentage,50000.0,0.0,50000.0,0.0,0.0,156.25,138544.92,-0.0,50000.0,0.0,-0.03
w/o first,110.8359375,30%,0.3,percentage,50000.0,0.0,50000.0,0.0,0.0,156.25,144086.72,-0.0,50000.0,0.0,-0.0
30MAY25,110.8359375,-30%,-0.3,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,110.8359375,-25%,-0.25,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,110.8359375,-20%,-0.2,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,110.8359375,-15%,-0.15,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,110.8359375,-10%,-0.1,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,110.8359375,-5%,-0.05,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,110.8359375,-2.5%,-0.025,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,110.8359375,-0.01%,-0.0001,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,110.8359375,-2,-2.0,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,110.8359375,-1.5,-1.5,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,110.8359375,-1,-1.0,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,110.8359375,-0.5,-0.5,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,110.8359375,-0.25,-0.25,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,110.8359375,0,0.0,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,110.8359375,0.25,0.25,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,110.8359375,0.5,0.5,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,110.8359375,1,1.0,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,110.8359375,1.5,1.5,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,110.8359375,2,2.0,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,110.8359375,0.01%,0.0001,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,110.8359375,2.5%,0.025,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,110.8359375,5%,0.05,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
