key,bid,ask,strike,itype,adjtheor,ivbid,ivask,ivaverage,pos.position,pos.startofdaypos,pos.premium,pos.price,pos.marketvalue,utotal.premium,utotal.yesterdaypl,price_source,midpoint_price,expiry_date,vtexp,calc_vol,implied_vol,delta_F,delta_y,gamma_F,gamma_y,vega_price,vega_y,theta_F,volga_price,vanna_F_price,charm_F,speed_F,color_F,ultima,zomma,greek_calc_success,greek_calc_error,model_version
XCME.ZN.SEP25,110.8125,110.828125,,F,,,,,1000,1000,0.0,110.8203125,110820312.5,22.227,111023665.273,calculated,110.8203125,SEP25,,0.0,0.0,63.0,3.969,0.0042,1.66698e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,futures_hardcoded
XCME.ZN2.11JUL25.110:25.C,,,110.25,C,0.5703197,,,,0,0,0.0,,,22.227,111023665.273,adjtheor,0.5703197,11JUL25,2.7557319223985893e-06,,,,,,,,,,,,,,,,,False,Failed to converge: final error 0.000007200 > tolerance 0.000001000,
XCME.ZN2.11JUL25.110:5.C,,,110.5,C,0.3213117,,,,0,0,0.0,,,22.227,111023665.273,adjtheor,0.3213117,11JUL25,2.7557319223985893e-06,,,,,,,,,,,,,,,,,False,Failed to converge: final error 0.000999200 > tolerance 0.000001000,
XCME.ZN2.11JUL25.110:75.C,,,110.75,C,0.1019278,,,,0,0,0.0,,,22.227,111023665.273,adjtheor,0.1019278,11JUL25,2.7557319223985893e-06,91.15773770070959,91.15773770070959,0.678906861910902,42.771132300386824,2.3665582976739983,12.244278703493888,0.0005944943247156199,0.03745314245708405,-39018.78555623061,0.0014079758630512462,-1.8253922760953702,-30191367.482576035,5697.710153576941,-555464735.838401,618853.7415870813,-1844187.0659734125,True,,bachelier_v1.0
XCME.ZN2.11JUL25.111.C,,,111.0,C,0.0099335,,,,0,0,0.0,,,22.227,111023665.273,adjtheor,0.0099335,11JUL25,2.7557319223985893e-06,94.7936723907875,94.7936723907875,0.12675218766190766,7.985387822700182,1.3209205459626063,5.775092835105596,0.00034505872323699154,0.021738699563930465,-23550.756167599764,0.004746284106972399,2.5038898126466393,43065312.09974587,2912.8056268629516,464177903.5253787,-223013.06546318653,1541107.5280955357,True,,bachelier_v1.0
XCME.ZN2.11JUL25.111:25.C,,,111.25,C,0.0003244,,,,0,0,0.0,,,22.227,111023665.273,adjtheor,0.0003244,11JUL25,2.7557319223985893e-06,,,,,,,,,,,,,,,,,False,Market price 0.000324 below minimum safeguard 0.001953,
XCME.VY2.14JUL25.110:25.C,,,110.25,C,0.5722998,,,,0,0,0.0,,,22.227,111023665.273,adjtheor,0.5722998,14JUL25,0.0033041225749559085,4.8124882034473,4.8124882034473,0.980379509977846,61.76390912860429,0.17220615775670464,4.8010801820433135,0.0027382588823175315,0.1725103095860045,-7.913297556112839,2.4184388008810433,-20.407597939724717,-14861.937188715101,-4171.607961709197,67178.18059610476,-43787.80687413895,7723.004863485465,True,,bachelier_v1.0
XCME.VY2.14JUL25.110:5.C,,,110.5,C,0.3356171,,,,0,0,0.0,,,22.227,111023665.273,adjtheor,0.3356171,14JUL25,0.0033041225749559085,4.67307820284386,4.67307820284386,0.8834589683797316,55.65791500792309,0.7294668641811409,6.6057816511298215,0.011263277082064045,0.7095864561700348,-31.606843811380056,3.4272615234115826,-50.00073715668327,-35358.45744707878,-1366.4138174098193,-207721.69795008286,33784.56467808454,-23880.30859551097,True,,bachelier_v1.0
XCME.VY2.14JUL25.110:75.C,,,110.75,C,0.1461341,,,,0,0,0.0,,,22.227,111023665.273,adjtheor,0.1461341,14JUL25,0.0033041225749559085,4.680538579960309,4.680538579960309,0.6030854764371787,37.994385015542264,1.4330294712726988,8.220652972517492,0.022161905649492605,1.396200055918034,-62.28970072266985,0.3233914569948278,-21.52741249271277,-15247.600900551673,1296.9289961929496,-166148.80366117947,74098.53430490606,-19100.964142693436,True,,bachelier_v1.0
XCME.VY2.14JUL25.111.C,,,111.0,C,0.04342,,,,0,0,0.0,,,22.227,111023665.273,adjtheor,0.04342,14JUL25,0.0033041225749559085,4.834447953815462,4.834447953815462,0.25894195827593025,16.313343371383606,1.1647820299089422,5.710576101467499,0.018605772275297708,1.1721636533437556,-54.01419445199168,1.609113269704062,43.292796405860784,31672.06516272418,-1577.091557271471,294265.88949649956,-107221.9752720033,33829.688085823465,True,,bachelier_v1.0
XCME.VY2.14JUL25.111:25.C,,,111.25,C,0.0094663,,,,0,0,0.0,,,22.227,111023665.273,adjtheor,0.0094663,14JUL25,0.0033041225749559085,5.123027620827046,5.123027620827046,0.07226283441411097,4.55255856808899,0.46722629726232306,2.1579250783734265,0.007908791495910228,0.4982538642423444,-24.3304497433322,3.2868457508548263,39.18801819235441,30380.42552152949,2613.9817382370566,89847.86765371845,13820.28176749492,10329.179991273846,True,,bachelier_v1.0
XCME.WY3.16JUL25.110:25.C,,,110.25,C,0.6102152,,,,0,0,0.0,,,22.227,111023665.273,adjtheor,0.6102152,16JUL25,0.011240630511463845,5.073442537883748,5.073442537883748,0.8554881839796074,53.89575559071527,0.4227687760237689,5.271019644752689,0.02410995073340393,1.5189268962044475,-21.59125367461038,5.342237527123543,-47.524006781523234,-10724.946315518398,-103.47008660865903,-37401.75191088578,7780.498254120934,-7930.805097572356,True,,bachelier_v1.0
