Key,BID,ASK,STRIKE,ITYPE,ADJTHEOR,IVBID,IVASK,IVAVERAGE
XCME.ZN.SEP25,112.1093750,112.1250000,INVALID,F,,,,
XCME.ZN1.01AUG25.111:5.P,INVALID,.0069999,111.5000000,P,.0001356,,1336.0373555,1177.9484978
XCME.ZN1.01AUG25.111:25.P,INVALID,.0069999,111.2500000,P,.0000305,,1751.7197891,1556.5813058
XCME.ZN1.01AUG25.112:5.P,.3750000,.4062500,112.5000000,P,.3913661,,1146.9709423,837.0527296
XCME.ZN1.01AUG25.110.C,2.1093750,2.1250000,110,C,2.1093750,1141.8426654,,
XCME.ZN1.01AUG25.112.P,.0069999,.0312500,112,P,.0200533,368.9591785,676.3283576,536.6011704
XCME.ZN1.01AUG25.112:25.C,.0069999,.0312500,112.2500000,C,.0140478,438.2155682,768.7727537,620.6916007
