Key,BID,ASK,STRIKE,ITYPE,ADJTHEOR,IVBID,IVASK,IVAVERAGE
XCME.ZN.SEP25,111.9687500,111.9843750,INVALID,F,,,,
XCME.ZN1.01AUG25.111:25.P,INVALID,.0069999,111.2500000,P,.0042548,,1170.1394011,1037.0721439
XCME.ZN1.01AUG25.112:5.P,.5156250,.5468750,112.5000000,P,.5332604,,1201.9951723,1004.4773807
XCME.ZN1.01AUG25.110.C,1.9531250,2,110,C,,,,
XCME.ZN1.01AUG25.112.P,.1250000,.1406250,112,P,.1292613,789.6764276,899.3013616,844.4996709
XCME.ZN1.01AUG25.112:25.C,.0156250,.0468750,112.2500000,C,.0318235,675.1544747,1008.6262136,855.5884355
XCME.ZN1.01AUG25.111:25.C,.7031250,.7500000,111.2500000,C,.7308173,,1194.9352225,1055.8721738
XCME.ZN1.01AUG25.111:75.C,.2343750,.2812500,111.7500000,C,.2658615,482.9574932,976.7679726,762.3951346
