Key,BID,ASK,STRIKE,ITYPE,ADJTHEOR,IVBID,IVASK,IVAVERAGE
XCME.ZN.SEP25,111.9531250,111.9687500,INVALID,F,,,,
XCME.ZN1.01AUG25.110:5.C,1.4531250,1.4843750,110.5000000,C,1.4644367,,,
XCME.ZN1.01AUG25.110:75.C,1.2031250,1.2343750,110.7500000,C,1.2144483,,,
XCME.ZN1.01AUG25.111.P,INVALID,.0069999,111,P,.0000956,,1623.9447106,1451.2000545
XCME.ZN1.01AUG25.113.C,INVALID,.0069999,113,C,.0000178,,1725.2666827,1545.6989937
XCME.ZN1.01AUG25.112:5.C,INVALID,.0069999,112.5000000,C,.0004334,,1007.2172148,883.9578124
XCME.ZN1.01AUG25.111:5.C,.4531250,.4843750,111.5000000,C,.4664697,,1163.2926605,933.5780331
XCME.ZN1.01AUG25.113.P,1.0156250,1.0468750,113,P,1.0355803,,1882.5308910,1742.2906132
