Key,BID,ASK,STRIKE,ITYPE,ADJTHEOR,IVBID,IVASK,IVAVERAGE
XCME.ZN.SEP25,111.9687500,111.9843750,INVALID,F,,,,
XCME.ZN1.01AUG25.111:25.P,INVALID,.0069999,111.2500000,P,.0007343,,1226.6283541,1086.7709143
XCME.ZN1.01AUG25.112:5.P,.5156250,.5468750,112.5000000,P,.5336837,,1152.9896148,1074.9607106
XCME.ZN1.01AUG25.110.C,1.9531250,1.9843750,110,C,,,,
XCME.ZN1.01AUG25.112.P,.0781250,.1093750,112,P,.1036465,453.3479218,687.8772978,570.9405991
XCME.ZN1.01AUG25.112:25.C,.0069999,.0156250,112.2500000,C,.0129505,586.0578559,728.5634856,663.4402125
XCME.ZN1.01AUG25.111:25.C,.7031250,.7343750,111.2500000,C,.7194843,,1451.5431931,1106.5568739
XCME.ZN1.01AUG25.111:75.C,.2187500,.2500000,111.7500000,C,.2379240,213.4971637,791.0032847,613.5802141
