symbol,vtexp
XCME.ZN.N.G.28JUL25,0.431250
XCME.ZN.N.G.29JUL25,1.431250
XCME.ZN.N.G.30JUL25,2.430556
XCME.ZN.N.G.31JUL25,3.430556
XCME.ZN.N.G.01AUG25,4.534722
XCME.ZN.N.G.04AUG25,5.430556
XCME.ZN.N.G.05AUG25,6.430556
XCME.ZN.N.G.06AUG25,7.429861
XCME.ZN.N.G.07AUG25,8.429861
XCME.ZN.N.G.08AUG25,9.534028
