symbol,vtexp
XCME.ZN.N.G.24JUL25,0.954861
XCME.ZN.N.G.AUG25,2.059028
XCME.ZN.N.G.28JUL25,2.954861
XCME.ZN.N.G.29JUL25,3.954861
XCME.ZN.N.G.30JUL25,4.954167
XCME.ZN.N.G.31JUL25,5.954167
XCME.ZN.N.G.01AUG25,7.058333
XCME.ZN.N.G.04AUG25,7.954167
XCME.ZN.N.G.05AUG25,8.954167
XCME.ZN.N.G.06AUG25,9.954167
