symbol,vtexp
XCME.ZN.N.G.22JUL25,0.752778
XCME.ZN.N.G.23JUL25,1.752083
XCME.ZN.N.G.24JUL25,2.752083
XCME.ZN.N.G.AUG25,3.856250
XCME.ZN.N.G.28JUL25,4.752083
XCME.ZN.N.G.29JUL25,5.752083
XCME.ZN.N.G.30JUL25,6.752083
XCME.ZN.N.G.31JUL25,7.752083
XCME.ZN.N.G.01AUG25,8.856250
XCME.ZN.N.G.04AUG25,9.751389
