symbol,vtexp
XCME.ZN.N.G.31JUL25,0.781250
XCME.ZN.N.G.01AUG25,1.884722
XCME.ZN.N.G.04AUG25,2.780556
XCME.ZN.N.G.05AUG25,3.780556
XCME.ZN.N.G.06AUG25,4.780556
XCME.ZN.N.G.07AUG25,5.780556
XCME.ZN.N.G.08AUG25,6.884722
XCME.ZN.N.G.11AUG25,7.779861
XCME.ZN.N.G.12AUG25,8.779861
XCME.ZN.N.G.13AUG25,9.779861
