symbol,vtexp
XCME.ZN.N.G.24JUL25,0.875000
XCME.ZN.N.G.AUG25,1.978472
XCME.ZN.N.G.28JUL25,2.874306
XCME.ZN.N.G.29JUL25,3.874306
XCME.ZN.N.G.30JUL25,4.874306
XCME.ZN.N.G.31JUL25,5.874306
XCME.ZN.N.G.01AUG25,6.978472
XCME.ZN.N.G.04AUG25,7.874306
XCME.ZN.N.G.05AUG25,8.874306
XCME.ZN.N.G.06AUG25,9.873611
