symbol,vtexp
XCME.ZN.N.G.01AUG25,0.277778
XCME.ZN.N.G.04AUG25,1.173611
XCME.ZN.N.G.05AUG25,2.172917
XCME.ZN.N.G.06AUG25,3.172917
XCME.ZN.N.G.07AUG25,4.172917
XCME.ZN.N.G.08AUG25,5.277083
XCME.ZN.N.G.11AUG25,6.172917
XCME.ZN.N.G.12AUG25,7.172917
XCME.ZN.N.G.13AUG25,8.172917
XCME.ZN.N.G.14AUG25,9.172917
