ACCOUNT,UNDERLYING,ASSET,RUN_DATE,PRODUCT_CODE,LONG_SHORT,PUT_CALL,STRIKE_PRICE,QUANTITY,EXPIRE_DATE,LOT_SIZE,PRICE_TODAY,IS_AMERICAN
SHAH,ZN,ZN,06/03/2025,FUTURE,L,,109.75,1,06/18/2025,1000,109.65625,N
SHAH,ZN,ZN1,06/03/2025,FUTR-OP,S,P,109.5,1,06/06/2025,1000,109.65625,Y
