timestamp,underlying_future_price,expiry,vtexp,strike,itype,bid,ask,adjtheor,implied_vol,delta_F,delta_y,gamma_F,gamma_y,speed_F,speed_y,theta_F,vega_price,vega_y,key,calc_error
2025-08-21 10:49:25,111.609375,20AUG25,,112.0,C,,,,20.0,,,,,,,,,,XCME.WY3.20AUG25.112.C,No valid price available
2025-08-21 10:49:25,111.609375,20AUG25,,112.25,C,,,,20.0,,,,,,,,,,XCME.WY3.20AUG25.112:25.C,No valid price available
2025-08-21 10:49:25,111.609375,20AUG25,,112.5,C,,,,20.0,,,,,,,,,,XCME.WY3.20AUG25.112:5.C,No valid price available
2025-08-21 10:49:25,111.609375,20AUG25,,112.75,C,,,,20.0,,,,,,,,,,XCME.WY3.20AUG25.112:75.C,No valid price available
2025-08-21 10:49:25,111.609375,20AUG25,,113.0,C,,,,20.0,,,,,,,,,,XCME.WY3.20AUG25.113.C,No valid price available
2025-08-21 10:49:25,111.609375,20AUG25,,113.25,C,,,,20.0,,,,,,,,,,XCME.WY3.20AUG25.113:25.C,No valid price available
2025-08-21 10:49:25,111.609375,20AUG25,,113.5,C,,,,20.0,,,,,,,,,,XCME.WY3.20AUG25.113:5.C,No valid price available
2025-08-21 10:49:25,111.609375,20AUG25,,113.75,C,,,,20.0,,,,,,,,,,XCME.WY3.20AUG25.113:75.C,No valid price available
2025-08-21 10:49:25,111.609375,20AUG25,,114.0,C,,,,50.0,,,,,,,,,,XCME.WY3.20AUG25.114.C,No valid price available
2025-08-21 10:49:25,111.609375,20AUG25,,110.0,P,,,,20.0,,,,,,,,,,XCME.WY3.20AUG25.110.P,No valid price available
2025-08-21 10:49:25,111.609375,20AUG25,,110.25,P,,,,20.0,,,,,,,,,,XCME.WY3.20AUG25.110:25.P,No valid price available
2025-08-21 10:49:25,111.609375,20AUG25,,110.5,P,,,,20.0,,,,,,,,,,XCME.WY3.20AUG25.110:5.P,No valid price available
2025-08-21 10:49:25,111.609375,20AUG25,,110.75,P,,,,20.0,,,,,,,,,,XCME.WY3.20AUG25.110:75.P,No valid price available
2025-08-21 10:49:25,111.609375,20AUG25,,111.0,P,,,,20.0,,,,,,,,,,XCME.WY3.20AUG25.111.P,No valid price available
2025-08-21 10:49:25,111.609375,20AUG25,,111.25,P,,,,20.0,,,,,,,,,,XCME.WY3.20AUG25.111:25.P,No valid price available
2025-08-21 10:49:25,111.609375,20AUG25,,111.5,P,,,,20.0,,,,,,,,,,XCME.WY3.20AUG25.111:5.P,No valid price available
2025-08-21 10:49:25,111.609375,20AUG25,,111.75,P,,,,20.0,,,,,,,,,,XCME.WY3.20AUG25.111:75.P,No valid price available
2025-08-21 10:49:25,111.609375,21AUG25,0.000705468253968254,110.0,C,1.609375,1.640625,1.609375,14.312427882686762,0.9999884987030684,63.99526396300156,0.00013459555516807457,4.200502929036084,-25.366520879568643,-0.006648434512143697,-0.054704972549849774,1.3590064089310232e-06,8.697097414594977e-05,XCME.HY3.21AUG25.110.C,
2025-08-21 10:49:25,111.609375,21AUG25,0.000705468253968254,110.25,C,1.359375,1.390625,1.359375,11.85439029674565,0.9999921057610511,63.99549480028423,0.00011355284266528488,4.200431898502734,-27.4660682978366,-0.007198715080053105,-0.03166109407713411,9.49630616496567e-07,6.07725609333143e-05,XCME.HY3.21AUG25.110:25.C,
2025-08-21 10:49:25,111.609375,21AUG25,0.000705468253968254,110.5,C,1.109375,1.140625,1.109375,9.85912504710871,0.9999886455213332,63.99527335878323,0.0001930170832379554,4.200742810340883,-52.92050964629849,-0.013870193094397553,-0.037225621910440446,1.3424916674396067e-06,8.591409674946507e-05,XCME.HY3.21AUG25.110:5.C,
2025-08-21 10:49:25,111.609375,21AUG25,0.000705468253968254,110.75,C,0.859375,0.890625,0.859375,7.725248026844031,0.9999859436847444,63.995100452048895,0.00030178834009791336,4.201176934006165,-101.89523302468565,-0.026706215924545196,-0.0357352466051358,1.6447214766159885e-06,0.0001052555956175168,XCME.HY3.21AUG25.110:75.C,
