Key,STRIKE,BID,ASK,ADJTHEOR,ITYPE,BloombergKey
Type,,,,,,
XCME.ZN.SEP25,,111.5625,111.578125,111.578125,F,TYU5 Comdty
XCME.ZT.SEP25,,103.81640625,103.8203125,103.8203125,F,TUU5 Comdty
XCME.ZF.SEP25,,108.671875,108.6796875,108.6796875,F,FVU5 Comdty
XCME.ZB.SEP25,,113.8125,113.84375,113.84375,F,USU5 Comdty
XCME.HY4.28AUG25.112:25.P,112.25,0.78125,0.8125,0.771178127808739,P,TJWQ25P4 112.25 Comdty
XCME.HY4.28AUG25.112:5.P,112.5,1.0,1.015625,0.983246718769333,P,TJWQ25P4 112.5 Comdty
XCME.HY4.28AUG25.112:75.P,112.75,1.21875,1.25,1.20926914612363,P,TJWQ25P4 112.75 Comdty
XCME.HY4.28AUG25.113.P,113.0,1.453125,1.484375,1.44351459634456,P,TJWQ25P4 113 Comdty
XCME.HY4.28AUG25.113:25.P,113.25,1.6875,1.71875,1.6823319348127,P,TJWQ25P4 113.25 Comdty
XCME.HY4.28AUG25.113:5.P,113.5,1.9375,1.96875,1.92376803551525,P,TJWQ25P4 113.5 Comdty
XCME.HY4.28AUG25.113:75.P,113.75,2.1875,2.21875,2.171875,P,TJWQ25P4 113.75 Comdty
XCME.HY4.28AUG25.114.P,114.0,2.421875,2.453125,2.421875,P,TJWQ25P4 114 Comdty
XCME.ZN5.29AUG25.110.C,110.0,1.578125,1.609375,1.59894940027581,C,5MQ5C 110 Comdty
XCME.ZN5.29AUG25.110:25.C,110.25,1.34375,1.375,1.36257290069712,C,5MQ5C 110.25 Comdty
XCME.ZN5.29AUG25.110:5.C,110.5,1.109375,1.140625,1.13283001048063,C,5MQ5C 110.5 Comdty
XCME.ZN5.29AUG25.110:75.C,110.75,0.90625,0.921875,0.914015271253,C,5MQ5C 110.75 Comdty
XCME.ZN5.29AUG25.111.C,111.0,0.703125,0.71875,0.711834256131109,C,5MQ5C 111 Comdty
XCME.ZN5.29AUG25.111:25.C,111.25,0.53125,0.546875,0.533336349696235,C,5MQ5C 111.25 Comdty
XCME.ZN5.29AUG25.111:5.C,111.5,0.390625,0.40625,0.383506569522872,C,5MQ5C 111.5 Comdty
XCME.ZN5.29AUG25.111:75.C,111.75,0.265625,0.296875,0.265215297019566,C,5MQ5C 111.75 Comdty
XCME.ZN5.29AUG25.112.C,112.0,0.1875,0.203125,0.1783272269886,C,5MQ5C 112 Comdty
XCME.ZN5.29AUG25.112:25.C,112.25,0.125,0.140625,0.117798440400634,C,5MQ5C 112.25 Comdty
XCME.ZN5.29AUG25.112:5.C,112.5,0.09375,0.109375,0.0776529283405409,C,5MQ5C 112.5 Comdty
XCME.ZN5.29AUG25.112:75.C,112.75,0.0625,0.078125,0.0515805910557106,C,5MQ5C 112.75 Comdty
XCME.ZN5.29AUG25.113.C,113.0,0.046875,0.0625,0.0355481129198552,C,5MQ5C 113 Comdty
