key,bid,ask,strike,itype,adjtheor,ivbid,ivask,ivaverage,pos.position,pos.startofdaypos,pos.premium,pos.price,pos.marketvalue,utotal.premium,utotal.yesterdaypl,price_source,midpoint_price,expiry_date,bloomberg_symbol,vtexp,calc_vol,implied_vol,delta_F,delta_y,gamma_F,gamma_y,vega_price,vega_y,theta_F,volga_price,vanna_F_price,charm_F,speed_F,color_F,ultima,zomma,greek_calc_success,greek_calc_error,model_version
XCME.ZN.SEP25,110.53125,110.546875,,F,,,,,1000,1000,110625000.0,110.5390625,110539062.5,110649437.5,-6065.625,calculated,110.5390625,SEP25,,,0.0,0.0,63.0,3.969,0.0042,1.66698e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,futures_hardcoded
XCME.ZN3.18JUL25.110.C,0.53125,0.5625,110.0,C,,,,,0,0,0.0,,,110649437.5,-6065.625,calculated,0.546875,18JUL25,,0.125694,0.9498579129218107,0.9498579129218107,0.9452837232505295,59.55287456478336,0.3289854751576991,5.275934988553131,0.03927804978488981,2.474517136448058,-0.5889297286909808,105.9589573718076,-186.70553804903193,-705.4582267339617,-2443.2920638219834,-916.7179725999528,-18844.729118838968,-650.0144558971741,True,Using calculated midpoint (adjtheor not available),bachelier_v1.0
XCME.ZN3.18JUL25.110:25.C,0.296875,0.328125,110.25,C,,,,,0,0,0.0,,,110649437.5,-6065.625,calculated,0.3125,18JUL25,,0.125694,0.8077765495196728,0.8077765495196728,0.8435974048172779,53.1466365034885,0.83701490860153,6.86522127247204,0.08498435483008158,5.35401435429514,-1.083640278503887,107.18505133298052,-299.52543455427116,-962.4549382533365,-55.443752357464675,-6658.271086693831,60260.84542791224,-4721.160255381903,True,Using calculated midpoint (adjtheor not available),bachelier_v1.0
XCME.ZN3.18JUL25.110:5.C,0.125,0.140625,110.5,C,,,,,0,0,0.0,,,110649437.5,-6065.625,calculated,0.1328125,18JUL25,,0.125694,0.7932836441137661,0.7932836441137661,0.5552318782410619,34.9796083291869,1.4048674967054824,7.90789298303652,0.1400807350450934,8.825086307840886,-1.7541302113950117,3.406421881524866,-69.17782434726188,-218.29855279511315,680.399734059994,-2313.580962676392,36527.40248437033,-1640.4838953500316,True,Using calculated midpoint (adjtheor not available),bachelier_v1.0
XCME.ZN3.18JUL25.110:75.C,0.03125,0.046875,110.75,C,,,,,0,0,0.0,,,110649437.5,-6065.625,calculated,0.0390625,18JUL25,,0.125694,0.8134967665526603,0.8134967665526603,0.23227476799792846,14.633310383869494,1.058625993054514,5.177240592024667,0.10824626783500865,6.819514873605545,-1.390028417388134,71.17680348633448,274.4988420251838,888.28392926447,-1248.5512621249618,7592.264618262719,-92493.93576734514,5383.424239922727,True,Using calculated midpoint (adjtheor not available),bachelier_v1.0
XCME.ZN3.18JUL25.111.C,,0.015625,111.0,C,,,,,0,0,0.0,,,110649437.5,-6065.625,missing,,18JUL25,,0.125694,20.0,20.0,0.4740845323185475,29.867325536068495,0.056144235751496525,2.213991507435589,0.14113987137097206,8.891811896371241,-44.55891726309248,0.029821485084680088,1.2939491833352716,102.94438742782246,-0.5125468221383616,43.49351224922961,-1.0858053158591263,30.839813928331722,True,No valid price available,bachelier_v1.0
XCME.ZN3.18JUL25.111:25.C,,0.0069999,111.25,C,,,,,0,0,0.0,,,110649437.5,-6065.625,missing,,18JUL25,,0.125694,20.0,20.0,0.460067448657626,28.98424926543044,0.055980896925025926,2.154471464257457,0.14072925716188417,8.865943201198704,-44.429283273830094,0.070736359777243,1.989945945381781,158.3167013048977,-0.7836258526804357,66.75794785027745,-1.6633486228225527,47.33585731458825,True,No valid price available,bachelier_v1.0
XCME.ZN3.18JUL25.111:5.C,,0.0069999,111.5,C,,,,,0,0,0.0,,,110649437.5,-6065.625,missing,,18JUL25,,0.125694,20.0,20.0,0.44609982364529555,28.10428888965362,0.055748689101995916,2.094885806356063,0.14014551455972546,8.829167417262704,-44.2449913507904,0.1286959712866358,2.67855029669746,213.1008876077983,-1.0459353310298323,89.6091410331265,-2.2264800184404074,63.538884142156306,True,No valid price available,bachelier_v1.0
XCME.ZN3.18JUL25.111:75.C,,0.0069999,111.75,C,,,,,0,0,0.0,,,110649437.5,-6065.625,missing,,18JUL25,,0.125694,20.0,20.0,0.43219877209554597,27.228522642019396,0.05544847370887779,2.035309834951829,0.13939080908727366,8.78162097249824,-44.00672516577602,0.2032698945397627,3.3572318065922095,267.09562959188264,-1.2965283055597032,111.90718628461643,-2.770374307449246,79.34969202957059,True,No valid price available,bachelier_v1.0
XCME.ZN3.18JUL25.112.C,,0.0069999,112.0,C,,,,,0,0,0.0,,,110649437.5,-6065.625,missing,,18JUL25,,0.125694,20.0,20.0,0.4183811622479515,26.358013221620947,0.055081360899347384,1.9758188028509058,0.13846793153765138,8.723479686872038,-43.71536579313285,0.293905656324658,4.0235212844445165,320.1044826677897,-1.5325785096305582,133.51695638593503,-3.290419903677298,94.6724667261691,True,No valid price available,bachelier_v1.0
XCME.ZN3.18JUL25.112:25.C,,0.0069999,112.25,C,,,,,0,0,0.0,,,110649437.5,-6065.625,missing,,18JUL25,,0.125694,20.0,20.0,0.4046635544097449,25.49380392781393,0.05464870271528268,1.9164876295978854,0.1373802807818948,8.654957689259371,-43.37198628197038,0.3999338426098133,4.675025740096448,371.93706462491826,-1.7514090707994021,154.30924790223665,-3.7822690605538676,109.4155943409717,True,No valid price available,bachelier_v1.0
