Key,BID,ASK,STRIKE,ITYPE,ADJTHEOR,IVBID,IVASK,IVAVERAGE,POS.POSITION,POS.STARTOFDAYPOS,POS.PREMIUM,POS.PRICE,POS.MARKETVALUE,UTOTAL.PREMIUM,UTOTAL.YESTERDAYPL
Type,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE,VAR_INT32,VAR_INT32,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZN.SEP25,111.2187500,111.2343750,INVALID,F,,,,,1000,1000,0,111.2265625,111226562.5000000,22227,0
XCME.VY3.21JUL25.110:25.C,1.0156250,1.0312500,110.2500000,C,,,,,0,0,0,,,22227,0
XCME.VY3.21JUL25.111:25.C,.3125000,.3281250,111.2500000,C,,479.8728424,527.6899881,503.7814153,0,0,0,,,22227,0
XCME.VY3.21JUL25.111.C,.4375000,.4687500,111,C,,461.8165592,511.4919376,486.6542484,0,0,0,,,22227,0
XCME.WY3.16JUL25.111.C,.3750000,.4062500,111,C,.3863018,497.1747735,565.3055446,531.3778000,0,0,0,,,22227,0
XCME.VY3.21JUL25.111.P,.2031250,.2343750,111,P,,481.0803909,505.9180801,493.4992355,0,0,0,,,22227,0
XCME.VY3.21JUL25.110:25.P,.0312500,.0468750,110.2500000,P,,,,,0,0,0,,,22227,0
XCME.VY3.21JUL25.110:75.C,.5937500,.6250000,110.7500000,C,,468.6792596,524.9005366,497.1663959,0,0,0,,,22227,0
XCME.WY3.16JUL25.110:75.C,.5468750,.5781250,110.7500000,C,.5594418,474.6052599,560.0582359,518.3500311,0,0,0,,,22227,0
XCME.VY3.21JUL25.110:75.P,.1250000,.1406250,110.7500000,P,,462.2864251,518.6871089,490.7735613,0,0,0,,,22227,0
XCME.ZN3.18JUL25.111:25.C,.2812500,.3125000,111.2500000,C,.3040634,475.9696869,527.0813119,501.5259431,0,0,0,,,22227,0
