Key,BID,ASK,STRIKE,ITYPE,ADJTHEOR,IVBID,IVASK,IVAVERAGE,POS.POSITION,POS.STARTOFDAYPOS,POS.PREMIUM,POS.PRICE,POS.MARKETVALUE,UTOTAL.PREMIUM,UTOTAL.YESTERDAYPL
Type,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE,VAR_INT32,VAR_INT32,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.WY3.16JUL25.111.C,.4687500,.4843750,111,C,.4775167,508.8826142,540.2169885,524.5954766,0,0,0,,,110897227,390625
XCME.ZN3.18JUL25.111:25.C,.3593750,.3906250,111.2500000,C,.3763642,487.9946125,535.3700440,511.6861088,0,0,0,,,110897227,390625
XCME.WY3.16JUL25.110:75.C,.6406250,.6718750,110.7500000,C,.6556868,478.2223552,556.5316792,518.3297994,0,0,0,,,110897227,390625
XCME.WY3.16JUL25.110:75.P,.0781250,.0937500,110.7500000,P,.0853741,498.5551799,537.6328702,518.3302855,1,1,227,.0859375,85.9375000,110897227,390625
XCME.WY3.16JUL25.110:25.P,.0156250,.0312500,110.2500000,P,.0218075,485.3202383,569.3813626,530.9332545,0,0,0,,,110897227,390625
XCME.ZN2.11JUL25.110:75.C,.5781250,.5937500,110.7500000,C,.5874637,434.6366784,542.7326666,493.9084329,0,0,0,,,110897227,390625
XCME.WY3.16JUL25.111:25.C,.3125000,.3437500,111.2500000,C,.3319540,501.6031915,558.6778088,530.1476234,0,0,0,,,110897227,390625
XCME.ZN3.18JUL25.110:5.C,.8750000,.9062500,110.5000000,C,.8890003,458.2947161,535.9629807,498.6218022,0,0,0,,,110897227,390625
XCME.WY3.16JUL25.110:5.C,.8437500,.8750000,110.5000000,C,.8638812,432.7429395,551.4765156,497.2878342,0,0,0,,,110897227,390625
XCME.ZN3.18JUL25.110:25.P,.0312500,.0468750,110.2500000,P,.0384417,473.2043246,527.4667970,501.5577972,0,0,0,,,110897227,390625
XCME.ZN2.11JUL25.110:75.P,.0069999,.0312500,110.7500000,P,.0206536,392.4370341,567.1023921,493.9129427,0,0,0,,,110897227,390625
XCME.WY2.09JUL25.110:5.P,INVALID,INVALID,110.5000000,P,,,,,0,0,0,,,110897227,390625
XCME.ZN2.11JUL25.111:25.P,.1250000,.1406250,111.2500000,P,.1308837,446.4295934,491.6995851,469.0790679,0,0,0,,,110897227,390625
XCME.ZN3.18JUL25.110:75.C,.6875000,.7031250,110.7500000,C,.6899787,493.0892327,522.7657859,508.0278693,0,0,0,,,110897227,390625
XCME.ZN2.11JUL25.111.C,.3593750,.3750000,111,C,.3695566,431.5782932,492.3096277,462.5550952,0,0,0,,,110897227,390625
XCME.ZN3.18JUL25.110:75.P,.1093750,.1406250,110.7500000,P,.1196666,477.9276690,537.3274330,508.0276593,0,0,0,,,110897227,390625
XCME.ZN3.18JUL25.110:5.P,.0625000,.0781250,110.5000000,P,.0686839,478.9133745,517.5975934,498.6316819,0,0,0,,,110897227,390625
XCME.VY2.14JUL25.111:25.C,.2187500,.2500000,111.2500000,C,.2346187,432.1367025,507.3305727,469.7642554,0,0,0,,,110897227,390625
XCME.WY3.16JUL25.111.P,.1406250,.1718750,111,P,.1572042,493.0672598,555.7551502,524.5956504,0,0,0,,,110897227,390625
