key,bid,ask,strike,itype,adjtheor,ivbid,ivask,ivaverage,pos.position,pos.startofdaypos,pos.premium,pos.price,pos.marketvalue,utotal.premium,utotal.yesterdaypl,price_source,midpoint_price,expiry_date,bloomberg_symbol,vtexp,calc_vol,implied_vol,delta_F,delta_y,gamma_F,gamma_y,vega_price,vega_y,theta_F,volga_price,vanna_F_price,charm_F,speed_F,color_F,ultima,zomma,greek_calc_success,greek_calc_error,model_version
XCME.GY4.22JUL25.111:25.C,0.046875,0.078125,111.25,C,0.0506106,321.8133326,544.0293692,436.0753456,0,0,0.0,,,19.7,111266384.023,adjtheor,0.0506106,22JUL25,,0.880556,0.2625588518495429,0.2625588518495429,0.3171663090424548,19.98147746967465,1.4460371684276505,7.071420019467655,0.3343205720746555,21.062196040703295,-0.1977890519352327,288.06381347968295,645.4076085472122,96.22186475085928,-2160.039619213438,1083.2754272147702,-144903.02213692787,2033.046808201457,True,,bachelier_v1.0
XCME.GY4.22JUL25.111:5.C,0.0069999,0.03125,111.5,C,0.0120418,411.9533376,625.7771694,534.3679475,0,0,0.0,,,19.7,111266384.023,adjtheor,0.0120418,22JUL25,,0.880556,0.2958435549098639,0.2958435549098639,0.09297470895467624,5.857406664144603,0.599221398117779,2.7688035067391055,0.15610125930401592,9.834379336153003,-0.10405932440089653,923.0789881512255,743.7262143108325,124.93618073204429,2139.539973901666,562.8056191068325,-5823.277511525641,1056.2504593175265,True,,bachelier_v1.0
XCME.GY4.22JUL25.111:75.C,,0.015625,111.75,C,0.0041978,,738.3790875,632.9310284,0,0,0.0,,,19.7,111266384.023,adjtheor,0.0041978,22JUL25,,0.880556,0.35557009587058414,0.35557009587058414,0.03217468263873831,2.0270050062405134,0.21608245637030407,0.9927649364164378,0.067655283407844,4.262282854694172,-0.054205010062091885,651.033435985415,375.06919898457085,75.7268084261802,2900.8693055394565,-95.68124029696874,26957.774333527206,-179.57062008750117,True,,bachelier_v1.0
XCME.GY4.22JUL25.112.C,,0.015625,112.0,C,0.0022487,,961.3853693,835.7622236,0,0,0.0,,,19.7,111266384.023,adjtheor,0.0022487,22JUL25,,0.880556,0.4292742741107338,0.4292742741107338,0.015667985126821646,0.9870830629897637,0.09759691867837367,0.45316770776711607,0.03689163894118093,2.3241732532943984,-0.035684144961654465,398.28357767233496,197.15793146870504,48.05760673733537,1895.669077246408,-194.99504589207743,12775.178512828401,-365.95868945838055,True,,bachelier_v1.0
XCME.GY4.22JUL25.112:25.C,,0.015625,112.25,C,0.0017458,,1172.5800727,1027.684684,0,0,0.0,,,19.7,111266384.023,adjtheor,0.0017458,22JUL25,,0.880556,,,,,,,,,,,,,,,,,False,Market price 0.001746 below minimum safeguard 0.001953,
XCME.GY4.22JUL25.112:5.C,,0.015625,112.5,C,0.0015503,,1377.2480592,1214.3574117,0,0,0.0,,,19.7,111266384.023,adjtheor,0.0015503,22JUL25,,0.880556,,,,,,,,,,,,,,,,,False,Market price 0.001550 below minimum safeguard 0.001953,
XCME.GY4.22JUL25.112:75.C,,0.015625,112.75,C,0.0014711,,1576.8418959,1396.8436824,0,0,0.0,,,19.7,111266384.023,adjtheor,0.0014711,22JUL25,,0.880556,,,,,,,,,,,,,,,,,False,Market price 0.001471 below minimum safeguard 0.001953,
XCME.GY4.22JUL25.113.C,,0.0069999,113.0,C,0.0014497,,1549.7292439,1403.7194303,0,0,0.0,,,19.7,111266384.023,adjtheor,0.0014497,22JUL25,,0.880556,,,,,,,,,,,,,,,,,False,Market price 0.001450 below minimum safeguard 0.001953,
XCME.WY4.23JUL25.110.C,1.109375,1.15625,110.0,C,1.1323993,,912.6063437,803.9920091,0,0,0.0,,,19.7,111266384.023,adjtheor,1.1323993,23JUL25,,1.880556,,,,,,,,,,,,,,,,,False,Failed to converge: final error 0.000413200 > tolerance 0.000001000,
XCME.WY4.23JUL25.110:25.C,0.859375,0.90625,110.25,C,0.8841962,,755.5654865,659.7042887,0,0,0.0,,,19.7,111266384.023,adjtheor,0.8841962,23JUL25,,1.880556,0.27935010915272185,0.27935010915272185,0.9894026712023283,62.33236828574668,0.0731831333604738,4.445955075357499,0.038445553335945286,2.422069860164553,-0.011331258686042584,730.8870329409968,-231.27603248750611,-17.17762856298703,-1897.7753958116436,103.6137970540149,-11381.25934149203,284.17817454855833,True,,bachelier_v1.0
