Key,BID,ASK,STRIKE,ITYPE,ADJTHEOR,IVBID,IVASK,IVAVERAGE
XCME.ZN.SEP25,112.2500000,112.2656250,INVALID,F,,,,
XCME.ZN1.01AUG25.111:5.P,INVALID,.0069999,111.5000000,P,0,,,
XCME.ZN1.01AUG25.111:25.P,INVALID,.0069999,111.2500000,P,0,,,
XCME.ZN1.01AUG25.112:5.P,.2343750,.2812500,112.5000000,P,.2421513,,,1739.5831366
XCME.ZN1.01AUG25.110.C,2.2187500,2.2656250,110,C,,,,
XCME.ZN1.01AUG25.112.P,INVALID,.0069999,112,P,0,,1352.7647752,1157.7575710
XCME.ZN1.01AUG25.112:25.C,.0069999,.0312500,112.2500000,C,.0245812,,,
