Key,BID,ASK,STRIKE,ITYPE,ADJTHEOR,IVBID,IVASK,IVAVERAGE,POS.POSITION,POS.STARTOFDAYPOS,POS.PREMIUM,POS.PRICE,POS.MARKETVALUE,UTOTAL.PREMIUM,UTOTAL.YESTERDAYPL
XCME.ZN.SEP25,111.3125000,111.3281250,INVALID,F,,,,,-2,0,-222656.2500000,111.3203125,-222640.6250000,-222656.2500000,0
XCME.ZN1.01AUG25.111:25.P,.2968750,.3125000,111.2500000,P,.2621961,736.1267025,771.1750725,753.6521591,0,0,0,,,-222656.2500000,0
XCME.ZN1.01AUG25.111:5.C,.2500000,.2656250,111.5000000,C,.2121546,746.0064764,781.7547247,763.8897815,0,0,0,,,-222656.2500000,0
XCME.ZN1.01AUG25.111:5.P,.4218750,.4531250,111.5000000,P,.3953423,720.0737925,791.6080121,755.8805872,0,0,0,,,-222656.2500000,0
XCME.ZN1.01AUG25.111:75.C,.1562500,.1718750,111.7500000,C,.1243849,734.3125425,774.1560161,754.3041845,0,0,0,,,-222656.2500000,0
XCME.ZN1.01AUG25.111:75.P,.5781250,.6093750,111.7500000,P,.5575722,705.0932793,785.0600611,745.3664309,0,0,0,,,-222656.2500000,0
